Matter,Matter,"物质，事情","The matter is more complex than it appears.","事情比看起来要复杂得多。"
Formation,Formation,"形成，构成","The formation of the Earth's continents took billions of years.","地球大陆的形成花费了数十亿年。"
Emergence,Emergence,"出现，浮现","The emergence of new technology changed our lives.","新技术的出现改变了我们的生活。"
organisms,organism,"生物，有机体","Scientists are studying single-celled organisms.","科学家正在研究单细胞生物。"
chimpanzees,chimpanzee,"黑猩猩","Chimpanzees are one of our closest living relatives.","黑猩猩是与我们亲缘关系最近的现存亲戚之一。"
genus,genus,"属（生物分类）","Lions and tigers belong to the same genus, Panthera.","狮子和老虎属于同一个属，豹属。"
Eurasia,Eurasia,"欧亚大陆","The Silk Road connected different parts of Eurasia.","丝绸之路连接了欧亚大陆的不同地区。"
Neanderthals,Neanderthal,"尼安德特人","Neanderthals lived in Europe and Asia during the Ice Age.","尼安德特人在冰河时代生活在欧洲和亚洲。"
sapiens,sapiens,"智人","Homo sapiens is the scientific name for modern humans.","智人是现代人类的学名。"
Cognitive,Cognitive,"认知的","The brain's cognitive functions include thinking and memory.","大脑的认知功能包括思考和记忆。"
fictive,fictive,"虚构的","The characters in the novel are fictive.","小说中的人物是虚构的。"
settle,settle,"定居，解决","They decided to settle down in a small town.","他们决定在一个小镇定居下来。"
megafauna,megafauna,"巨型动物群","The megafauna of the Ice Age included mammoths and saber-toothed cats.","冰河时代的巨型动物群包括猛犸象和剑齿虎。"
floresiensis,floresiensis,"弗洛雷斯人（一种已灭绝的人类）","Homo floresiensis, also known as the ""Hobbit"", was a species of archaic human.","弗洛雷斯人，也被称为“霍比特人”，是一种古老的人类物种。"
Agricultural,Agricultural,"农业的","The Agricultural Revolution changed human society forever.","农业革命永远地改变了人类社会。"
Domestication,Domestication,"驯化","The domestication of dogs occurred thousands of years ago.","狗的驯化发生在数千年前。"
Permanent,Permanent,"永久的，固定的","They built permanent settlements along the river.","他们在河边建立了永久的定居点。"
settlements,settlement,"定居点","Archaeologists discovered ancient human settlements.","考古学家发现了古代人类的定居点。"
Polytheistic,Polytheistic,"多神论的","Ancient Greek religion was polytheistic.","古希腊宗教是多神论的。"
religions,religion,"宗教","Many different religions are practiced around the world.","世界各地 практику 着许多不同的宗教。"
Sargon,Sargon,"萨尔贡","Sargon of Akkad was a great Mesopotamian king.","阿卡德的萨尔贡是一位伟大的美索不达米亚国王。"
coinage,coinage,"货币制度，铸币","The introduction of coinage revolutionized trade.","货币制度的引入彻底改变了贸易。"
universal,universal,"普遍的，通用的","The desire for happiness is a universal human feeling.","对幸福的渴望是一种普遍的人类情感。"
suffering,suffering,"痛苦，苦难","The book explores the nature of human suffering.","这本书探讨了人类苦难的本质。"
Mediterranean,Mediterranean,"地中海的","The olive tree is a native plant of the Mediterranean region.","橄榄树是地中海地区的本土植物。"
Christianity,Christianity,"基督教","Christianity is a major world religion.","基督教是世界主要宗教之一。"
Islam,Islam,"伊斯兰教","Islam is the second-largest religion in the world.","伊斯兰教是世界第二大宗教。"
Scientific,Scientific,"科学的","He made a great scientific discovery.","他做出了一个伟大的科学发现。"
admits,admit,"承认，允许","She admits that she made a mistake.","她承认自己犯了错误。"
ignorance,ignorance,"无知，不知","Ignorance is not an excuse for breaking the law.","无知不是违法行为的借口。"
unprecedented,unprecedented,"史无前例的","The storm caused an unprecedented amount of damage.","这场风暴造成了前所未有的破坏。"
arena,arena,"竞技场，舞台","The political arena is a place of fierce competition.","政治舞台是一个竞争激烈的地方。"
capitalism,capitalism,"资本主义","Capitalism is an economic system based on private ownership.","资本主义是一种基于私有制的经济体系。"
Organisms,Organism,"生物，有机体","Microscopic organisms are too small to be seen with the naked eye.","微生物太小了，肉眼无法看到。"
shaped,shape,"塑造，形成","Our experiences have shaped who we are today.","我们的经历塑造了今天的我们。"
Cognitive,Cognitive,"认知的","The study of cognitive development is fascinating.","认知发展的研究引人入胜。"
Chauvet-Pont-d’Arc Cave,Chauvet-Pont-d’Arc Cave,"肖韦岩洞","The Chauvet-Pont-d’Arc Cave contains some of the earliest known cave paintings.","肖韦岩洞包含一些已知最早的洞穴壁画。"
MATTER,MATTER,"物质","Matter can exist in different states: solid, liquid, or gas.","物质可以以不同的状态存在：固体、液体或气体。"
* coalesce,coalesce,"合并，结合","The small groups coalesced into a single large group.","这些小团体合并成了一个大的团体。"
interactions,interaction,"相互作用","Social interactions are important for psychological health.","社交互动对心理健康很重要。"
* certain,certain,"确定的，某种","He was certain of his victory.","他确信自己会胜利。"
* intricate,intricate,"错综复杂的","The intricate design of the clock fascinated the children.","时钟错综复杂的设计吸引了孩子们。"
* elaborate,elaborate,"精心的，详尽的；详细说明","He made an elaborate plan for the project.","他为这个项目制定了一个详尽的计划。"
*subsequent,subsequent,"随后的，后来的","The subsequent events proved him right.","随后的事件证明了他是对的。"
shaped,shape,"塑造，形成","The artist shaped the clay into a beautiful vase.","艺术家把粘土塑造成一个美丽的花瓶。"
Cognitive,Cognitive,"认知的","The book is about cognitive psychology.","这本书是关于认知心理学的。"
kick-started,kick-start,"启动，推动","The government's new policy kick-started the economy.","政府的新政策推动了经济。"
Agricultural,Agricultural,"农业的","The country has a long agricultural history.","这个国家有悠久的农业历史。"
sped,speed,"快速移动","The car sped down the highway.","汽车在高速公路上飞驰。"
cuddling,cuddle,"拥抱，搂抱","The cat was cuddling with its owner on the couch.","猫咪和它的主人在沙发上拥抱着。"
clutches,clutch,"掌握，控制","The old house was in the clutches of a corrupt landlord.","那栋老房子被一个腐败的房东控制着。"
carefree,carefree,"无忧无虑的","The children were carefree and happy.","孩子们无忧无虑，非常快乐。"
temperamental,temperamental,"喜怒无常的","He is a temperamental person, you never know how he'll react.","他是一个喜怒无常的人，你永远不知道他会如何反应。"
cha ng,cha ng,"变化","I've noticed a significant change in his behavior.","我注意到他的行为有了显著变化。"
dictates,dictate,"命令，支配","He acts according to the dictates of his conscience.","他按照自己良心的命令行事。"
weary,weary,"疲惫的，厌倦的","She felt weary after the long day of work.","漫长的一天工作后，她感到很疲惫。"
machos,macho,"大男子主义者","The film portrays the machos of the old west.","这部电影描绘了旧西部的大男子主义者。"
matriarchs,matriarch,"女族长","The matriarch of the family was a strong and wise woman.","这个家族的女族长是一位坚强而智慧的女性。"
archaic,archaic,"古老的，过时的","The museum has a collection of archaic tools.","博物馆收藏了一系列古老的工具。"
competed,compete,"竞争","The two companies competed for the same market share.","两家公司竞争同一个市场份额。"
chimpanzees,chimpanzee,"黑猩猩","Chimpanzees are highly social animals.","黑猩猩是高度社会化的动物。"
baboons,baboon,"狒狒","Baboons live in large troops in Africa.","狒狒在非洲成群地生活。"
descendants,descendant,"后代，子孙","He is a descendant of a famous poet.","他是一位著名诗人的后代。"
fathom,fathom,"理解，弄懂","I couldn't fathom the reason for his decision.","我无法弄懂他做出这个决定的原因。"
prehistoric,prehistoric,"史前的","Prehistoric cave paintings were discovered in France.","史前洞穴壁画在法国被发现。"
insigni cant,insigni cant,"不重要的，微不足道的","The difference was insignificant.","这个差异微不足道。"
fireflies,firefly,"萤火虫","We watched the fireflies light up the night.","我们看着萤火虫点亮夜晚。"
fertile,fertile,"肥沃的，能生育的","The fertile soil is perfect for growing crops.","这片肥沃的土地非常适合种植庄稼。"
Horses,horse,"马","Horses are powerful and majestic animals.","马是强大而雄伟的动物。"
donkeys,donkey,"驴子","Donkeys are known for their stubbornness.","驴子以它们的固执而闻名。"
recent,recent,"最近的，近来的","I have not seen him in recent days.","最近几天我没有见过他。"
ancestor,ancestor,"祖先","My ancestors came from Europe.","我的祖先来自欧洲。"
mules,mule,"骡子","Mules are a hybrid of a horse and a donkey.","骡子是马和驴的杂交后代。"
sterile,sterile,"不育的，无菌的","The mule is a sterile animal.","骡子是一种不育的动物。"
Mutations,Mutation,"突变","Genetic mutations can cause diseases.","基因突变可以导致疾病。"
donkey,donkey,"驴子","A donkey is a domesticated animal.","驴子是一种驯养的动物。"
horses,horse,"马","Horses are often used for transportation and farming.","马常被用于运输和耕种。"
versa,versa,"反之亦然","He likes her, and vice versa.","他喜欢她，反之亦然。"
consequently,consequently,"因此，所以","He was sick, and consequently, he missed the meeting.","他病了，因此错过了会议。"
distinct,distinct,"独特的，明显的","The two colors are distinct from each other.","这两种颜色彼此不同。"
contrast,contrast,"对比，对照","The contrast between the light and dark parts of the painting is very striking.","画中明亮和黑暗部分之间的对比非常引人注目。"
spaniel,spaniel,"西班牙猎犬","A spaniel is a type of dog with long, floppy ears.","西班牙猎犬是一种耳朵长而下垂的狗。"
ancestor,ancestor,"祖先","Our human ancestors lived in Africa.","我们人类的祖先生活在非洲。"
bunched,bunch,"成群的，聚集的","The flowers were bunched together in a vase.","花朵在花瓶里簇拥在一起。"
heading,heading,"标题","The heading of the article was bold and clear.","文章的标题粗体且清晰。"
genus,genus,"属（生物分类）","The genus Panthera includes lions, tigers, and leopards.","豹属包括狮子、老虎和豹子。"
plural,plural,"复数","The plural of ""cat"" is ""cats"".","cat的复数是cats。"
genera,genus,"属（genus的复数）","The two species belong to different genera.","这两个物种属于不同的属。"
leopards,leopard,"豹子","Leopards are known for their spotted coats.","豹子以其斑点外套而闻名。"
jaguars,jaguar,"美洲豹","Jaguars are the largest cats in the Americas.","美洲豹是美洲最大的猫科动物。"
Panthera leo,Panthera leo,"狮子（学名）","Panthera leo is the scientific name for the lion.","Panthera leo 是狮子的学名。"
Presumably,Presumably,"据推测，大概","Presumably, he has already left.","据推测，他已经离开了。"
grouped,group,"分组，归类","The students were grouped by their age.","学生们按年龄分组。"
cheetahs,cheetah,"猎豹","Cheetahs are the fastest land animals.","猎豹是陆地上跑得最快的动物。"
jackals,jackal,"豺狼","Jackals are found in Africa and Asia.","豺狼在非洲和亚洲被发现。"
mammoths,mammoth,"猛犸象","Mammoths were large, extinct elephants.","猛犸象是大型的已灭绝的大象。"
mastodons,mastodon,"乳齿象","Mastodons were ancient relatives of elephants.","乳齿象是大象的古代亲戚。"
lineage,lineage,"血统，世系","He comes from a long lineage of doctors.","他来自一个悠久的医生世家。"
matriarch,matriarch,"女族长","The matriarch of the family made all the decisions.","这个家族的女族长做出了所有的决定。"
patriarch,patriarch,"男族长","The patriarch of the family was a respected figure.","这个家族的男族长是一位受人尊敬的人物。"
ferocious,ferocious,"凶猛的，残忍的","The lion is a ferocious predator.","狮子是一种凶猛的捕食者。"
feline,feline,"猫科动物的；猫","The feline grace of the leopard was impressive.","豹子的猫科动物般的优雅令人印象深刻。"
banal,banal,"平庸的，陈腐的","His speech was full of banal clichés.","他的演讲充满了陈腐的陈词滥调。"
