～にしては,与「～わりに」相似，但「にしては」更侧重于与一个既定事实或标准相比，结果出乎意料。<br>例：外国人にしては日本語が上手だ。(基于“外国人”这个标准，日语说得很好，有些意外。) 「わりに」则常接续表示程度范围的词（如：年齢、値段）。,表示结果与从前项事实推断出的标准、预想不符，带有意外或评价的语气。“就…而言”、“按…的标准来说…”。,動詞(普通形) + にしては<br>い形容詞(普通形) + にしては<br>な形容詞(詞幹) + にしては<br>名詞 + にしては,はじめてにしては、なかなか じょうずな うんてんですね。,初めてにしては、なかなか上手な運転ですね。,就第一次而言，你開得相當不錯呢。,たくさん べんきょうしたにしては、テストの てんすうが ひくかった。,たくさん勉強したにしては、テストの点数が低かった。,就他學習了那麼多而言，考試分數卻很低。
～が早いか,"「～とたん(に)」「～なり」「～や否や」的近義。強調動作接續速度極快，幾乎沒有時間間隔。後項多為意料之外的、非意志性的行為。""",表示前項動作一發生，後項動作幾乎在同一瞬間發生。「剛一…就…」。,動詞(辞書形 / た形) + が早いか,ベルが なるが はやいか、せいとたちは きょうしつを とびだした。,ベルが鳴るが早いか、生徒たちは教室を飛び出した。,鈴聲剛一響起，學生們就衝出了教室。,かれは いえに かえるが はやいか、パソコンの まえに すわって ゲームを はじめた。,彼は家に帰るが早いか、パソコンの前に座ってゲームを始めた。,他剛一回到家，就立刻坐到電腦前開始玩遊戲。
～や・～や否や,"いなや,比「～が早いか」更為書面、正式。同樣表示兩個動作之間時間極短，後項多為客觀事實的發生，而非個人意志行為。",表示前一個動作完成的瞬間，下一個動作或事件就發生了。「剛一…就…」、「…的同時」。,動詞(辞書形) + や / や否や,その ニュースが つたわるやいなや、くにじゅうに しょうげきが はしった。,そのニュースが伝わるや否や、国中に衝撃が走った。,那個消息剛一傳開，全國都為之震驚。,ひこうきが ちゃくりくするや、じょうきゃくたちは いっせいに せきを たった。,飛行機が着陸するや、乗客たちは一斉に席を立った。,飛機剛一著陸，乘客們便一起站了起來。
～なり,主語通常是同一個人（多為第三人稱）。後項是預想之外的、有點突然的動作。有「A剛一發生，（主語）就立刻做了B」的語感。,表示前項動作一完成，緊接著就發生了意料之外的後項動作。「剛一…就立刻…」。,動詞(辞書形) + なり,かれは わたしの かおを みるなり、わっと なきだした。,彼は私の顔を見るなり、わっと泣き出した。,他剛一看到我的臉，就哇地哭了起來。,ぶちょうは へやに はいってくるなり、おおごえで どなりはじめた。,部長は部屋に入ってくるなり、大声で怒鳴り始めた。,部長剛一進房間，就立刻開始大聲咆哮。
～そばから,與其他「一…就…」的語法不同，其核心在於「做了也白做」的徒勞感。強調一個動作剛完成，另一個（通常是反向的或製造麻煩的）動作就緊接著發生，形成一個不斷重複的循環，多帶有無奈或抱怨的語氣。,表示一個動作剛結束，馬上就發生了與之相悖的下一個動作，導致前一個動作的努力白費。「隨…隨…」、「剛…就…」。,動詞(辞書形 / た形) + そばから,こどもの おもちゃを かたづけた そばから、また ちらかしてしまう。,子供のおもちゃを片付けたそばから、また散らかしてしまう。,剛把孩子的玩具收拾好，（他）馬上又弄亂了。,あたらしい たんごを おぼえる そばから、わすれていってしまう。,新しい単語を覚えるそばから、忘れていってしまう。,新單字隨記隨忘。
～てからというもの（は）,是「～てから」的強調形式。強調以某件事為契機，之後產生了巨大的、持續性的變化。不適用於描述剛發生的事或單純的未來計畫。,以某個事件為起點，之後一直保持著某種狀態。「自從…以後」。,動詞て形 + からというもの（は）,こどもが うまれてからというもの、ふうふの かいわは こどもの ことが ちゅうしんに なった。,子供が生まれてからというもの、夫婦の会話は子供のことが中心になった。,自從孩子出生以後，我們夫妻的對話就都圍繞著孩子了。,にほんに きてからというもの、まいにちが あたらしい はっけんの れんぞくです。,日本に来てからというもの、毎日が新しい発見の連続です。,自從來到日本後，每天都接連有新的發現。
～にあって,",非常正式、書面的表達。用於提示某個特殊的狀況、時期或場合，並說明在該情況下發生的事情。常帶有「在…這樣不凡的狀況下」的語感。",表示「在…情況/時期/場合下」。,名詞 + にあって,この こんなんな じょうきょうに あって、かれは れいせいな はんだんを うしなわなかった。,この困難な状況にあって、彼は冷静な判断を失わなかった。,在如此困難的狀況下，他沒有失去冷靜的判斷力。,しゅしょうという じゅうような たちばに あって、かれの はつげんは つねに ちゅうもくされている。,首相という重要な立場にあって、彼の発言は常に注目されている。,身處首相這一重要職位，他的發言時刻都備受矚目。
～を皮切りに,"をかわきりに,與「～をはじめとして」相似，但「～を皮切りに」更強調時間上的“開端”，表示以此為起點，一系列規模更大、更活躍的同類事件接連展開。多用於積極的、發展性的事情。",表示“以…為開端/起點，接著…”。,名詞 + を皮切りに（して）<br>名詞 + を皮切りとして,かのじょの コンサートは とうきょうこうえんを かわきりに、ぜんこく じゅっとしで つぎつぎと かいさいされる よていだ。,彼女のコンサートは東京公演を皮切りに、全国１０都市で次々と開催される予定だ。,她的演唱會將以東京場為開端，接著在全國10個城市陸續舉辦。,この アニメは、しがつの ほうそうかいしを かわきりとして、かんれんグッズが ぞくぞくと はつばいされた。,このアニメは、４月の放送開始を皮切りとして、関連グッズが続々と発売された。,這部動畫以4月的開播為起點，相關周邊商品便接連不斷地發售。
～に至るまで,"にいたるまで,是「～から～まで」的強調形式。後項多為令人意外或極端的例子，用以強調範圍之廣，有「無所不包」的語感。",表示範圍之廣，從某個起點一直到某個終點（都...）。「從～一直到～」。,名詞 + に至るまで,この デパートでは、こうきゅうブランドひんから にちようひんに いたるまで、あらゆる しょうひんが そろっている。,このデパートでは、高級ブランド品から日用品に至るまで、あらゆる商品が揃っている。,在這家百貨公司，從高級名牌貨到日常用品，所有商品一應俱全。,かれは まいにちの しょくじの ないようから、すいみんじかんに いたるまで、こまかく きろくを つけている。,彼は毎日の食事の内容から、睡眠時間に至るまで、細かく記録をつけている。,他從每天的飲食內容到睡眠時間，都做了詳細的記錄。
～を限りに,"をかぎりに,用於宣告某件持續至今的事情，將以某個時間點為界，徹底結束。帶有明確的“終結”意味，常用於引退、辭職、閉店等公告。",表示以某個時間為界限，終止一直以來的行為或狀態。「以～為限」、「到～為止」。,名詞（主に時を表す） + を限りに,きょうを かぎりに、タバコを やめることにした。,今日を限りに、タバコをやめることにした。,我決定從今天起戒菸（今天就是最後一天）。,とうてんは、こんげつを かぎりに へいてんさせて いただくことになりました。,当店は、今月を限りに閉店させていただくことになりました。,本店決定營業至本月底為止。
