混む,こむ,to be crowded,"電車がとても混んでいる。","The train is very crowded."
異なる,ことなる,to differ,"意見が異なる。","Opinions differ."
異常,いじょう,abnormality,"異常気象だ。","It's abnormal weather."
異文化,いぶんか,different culture,"異文化交流。","Cultural exchange."
驚異的,きょういてき,amazing/miraculous,"驚異的な速さ。","Amazing speed."
規則,きそく,rule,"規則を守る。","Follow the rules."
定規,じょうぎ,ruler,"定規で線を引く。","Draw a line with a ruler."
規模,きぼ,scale,"大規模な計画。","A large-scale project."
子守歌,こもりうた,lullaby,"子守歌を歌う。","Sing a lullaby."
守備,しゅび,defense,"守備につく。","Take the field (for defense)."
留守,るす,absence from home,"留守にする。","To be away from home."
平ら,たいら,flat/level,"地面が平らだ。","The ground is flat."
平仮名,ひらがな,Hiragana,"平仮名を書く。","Write Hiragana."
平気,へいき,calm/unconcerned,"平気な顔をする。","Keep a straight face."
平等,びょうどう,equality,"男女平等。","Gender equality."
量る,はかる,to measure,"重さを量る。","Measure the weight."
分量,ぶんりょう,quantity,"分量を調節する。","Adjust the quantity."
計算する,けいさんする,to calculate,"費用を計算する。","Calculate the cost."
予算,よさん,budget,"予算を立てる。","Make a budget."
一緒,いっしょ,together,"一緒に行く。","Go together."
仲良し,なかよし,good friends,"仲良しグループ。","A group of good friends."
仲間,なかま,comrade/mate,"仕事の仲間。","Work colleagues."
仲介する,ちゅうかいする,to mediate/broker,"不動産を仲介する。","Broker real estate."
関取,せきとり,Sumo wrestler (highest ranks),"関取の取り組み。","A bout of a high-ranking sumo wrestler."
関係,かんけい,relation/connection,"関係者以外立ち入り禁止。","No entry for those not involved."
関心,かんしん,interest,"政治に関心がある。","I have an interest in politics."
別れる,わかれる,to separate/part,"友達と別れる。","Part with a friend."
特別,とくべつ,special,"特別料金。","Special fee."
分別する,ぶんべつする,to sort (waste),"ごみを分別する。","Sort the trash."
勝つ,かつ,to win,"試合に勝つ。","Win the game."
勝負する,しょうぶする,to compete/have a contest,"勝負を挑む。","Challenge someone to a contest."
勝る,まさる,to surpass/excel,"才能に勝る。","Excel in talent."
自分勝手,じぶんかって,selfish/self-centered,"自分勝手な行動。","Self-centered behavior."
負ける,まける,to lose,"試合に負ける。","Lose the game."
負う,おう,to bear/carry,"責任を負う。","Bear responsibility."
抱負,ほうふ,aspiration/ambition,"新年の抱負。","New Year's resolution."
負担,ふたん,burden/charge,"費用を負担する。","Bear the cost."
誤る,あやまる,to make a mistake/err,"判断を誤る。","Make an error in judgment."
誤解する,ごかいする,to misunderstand,"誤解を招く。","Cause a misunderstanding."
誤字,ごじ,misspelling/typo,"誤字が多い。","There are many typos."
