name,trans,例文,例文翻译
Crippling,令人瘫痪的/严重的,The country faced crippling economic sanctions that halted industrial growth.,该国面临着令其瘫痪的经济制裁，阻碍了工业增长。
Monogamous,单配偶的/一夫一妻的,Certain bird species are strictly monogamous staying with one mate for life.,某些鸟类是严格的一夫一妻制，一生只有一个配偶。
Poetry,诗歌,The course explores the beauty and structure of modern English poetry.,这门课程探索现代英语诗歌的美感与结构。
Interpret,解释/翻译,It can be difficult to interpret the meaning of ancient cave paintings.,解释古代岩画的含义可能很困难。
Relay,转达/接力,The satellite is used to relay radio signals across the Atlantic.,卫星被用于在跨大西洋区域转播无线电信号。
Schedule,日程/安排,I need to check my class schedule to see when I am free.,我需要查看我的课表看看什么时候有空。
Apprehend,逮捕/理解,The police were able to apprehend the suspect within hours.,警方在数小时内逮捕了嫌疑人。
Aquifer,含水层,The city relies on a large underground aquifer for its drinking water.,这座城市的饮用水依赖于一个巨大的地下含水层。
Arrogant,傲慢的,His arrogant attitude made it difficult for him to work in a team.,他傲慢的态度让他很难在团队中工作。
Blanket,毯子/覆盖,A thick blanket of snow covered the entire campus this morning.,今天早上，厚厚的积雪覆盖了整个校园。
Arduous,艰巨的/费力的,Preparing for the Master's entrance exam is an arduous process.,准备硕士入学考试是一个艰巨的过程。
Inherit,继承,She inherited a passion for science from her parents.,她从父母那里继承了对科学的热情。
Frigid,寒冷的,The explorers struggled to survive in the frigid Arctic climate.,探险家们在寒冷的北极气候中挣扎求生。
Convert,转换/改变,The old factory was converted into a modern student center.,旧工厂被改造成了一个现代化的学生中心。
Balance,平衡,It is important to maintain a balance between study and work.,在学习和工作之间保持平衡很重要。
Division,部门/划分,The company is divided into several different research divisions.,公司被分为几个不同的研究部门。
Relic,遗迹/废墟,The museum houses many relics from the Roman Empire.,博物馆馆藏许多罗马帝国的遗物。
Copilot,副驾驶,The copilot took control of the plane when the pilot became ill.,当飞行员生病时，副驾驶接管了飞机。
Pancreas,胰腺,The pancreas plays a crucial role in regulating blood sugar levels.,胰腺在调节血糖水平方面起着至关重要的作用。
Bellows,风箱/吼叫,The blacksmith used a bellows to keep the fire burning brightly.,铁匠使用风箱让火烧得更旺。
Newsletter,时事通讯,The department sends out a weekly newsletter to all students.,系里每周向所有学生发送一份时事通讯。
Construct,建造/构思,The engineers are planning to construct a new bridge over the river.,工程师们正计划在河上建造一座新桥。
Charisma,魅力/感召力,The leader's charisma inspired many people to join the cause.,领导者的个人魅力激励了许多人加入这项事业。
Rivalry,竞争/对抗,There is a long-standing rivalry between the two universities.,这两所大学之间存在着长期的竞争。
Incessant,不断的/不停的,The incessant noise from the construction site made it hard to study.,建筑工地不断的噪音让人难以学习。
Whereby,凭此/借以,The government implemented a system whereby citizens can vote online.,政府实施了一套公民可以进行在线投票的系统。
Brew,酿造/酝酿,The local cafe is famous for the way they brew their tea.,当地的咖啡馆因其沏茶的方式而闻名。
Legitimate,合法的/合理的,The student had a legitimate excuse for missing the final exam.,该学生缺席期末考试有一个合理的理由。
Renown,名声/声望,The professor is a scientist of international renown.,这位教授是一位享有国际声望的科学家。
Upset,打乱/心烦,The sudden rainstorm upset our plans for a weekend hike.,突如其来的暴雨打乱了我们周末远足的计划。
Interval,间隔,The bell rings at regular intervals throughout the day.,铃声在全天定期响起。
Pretension,自命不凡/借口,He has no pretension to be an expert in the field of linguistics.,他并不自命为语言学领域的专家。
Sense,感官/意义,The five senses help us to perceive the world around us.,五种感官帮助我们感知周围的世界。
Deflect,偏转/转向,The shield was designed to deflect incoming space debris.,盾牌的设计是为了偏转飞来的太空碎片。
Semantic,语义的,Linguists study the semantic changes in English over the centuries.,语言学家研究几个世纪以来英语的语义变化。
Invalid,无效的/残疾的,The contract was declared invalid because it was not signed.,合同因未签署而被宣布无效。
Liquefy,液化,Certain gases must be cooled to extreme temperatures to liquefy.,某些气体必须冷却到极端温度才能液化。
Coalition,联盟/联合,The two parties formed a coalition to win the election.,这两个政党组成了联盟以赢得选举。
