1,动作的共同者,"昨日、友達と買い物をしました。
（きのう、ともだちと かいものを しました。）
昨天和朋友一起購物了。","先生と相談してから決めます。
（せんせいと そうだんしてから きめます。）
和老師商量之後再決定。","家族と沖縄へ旅行に行きたいです。
（かぞくと おきなわへ りょこうに いきたいです。）
想和家人去沖繩旅行。"
2,引用的内容,"彼は「また明日」と言いました。
（かれは「またあした」と いいました。）
他說了「明天見」。","すぐ行きますと伝えてください。
（すぐ いきますと つたえてください。）
請轉告他我馬上就去。","彼は来るかと聞きました。
（かれは くるかと ききました。）
他問了「會來嗎？」。"
3,转变的结果,"氷は暖かくなると水になる。
（こおりは あたたかくなると みずに なる。）
冰變暖後會成為水。","彼の努力が実を結び、夢が現実となった。
（かれの どりょくが みをむすび、ゆめが げんじつと なった。）
他的努力開花結果，夢想終成現實。","長い議論の末、計画は白紙となった。
（ながい ぎろんの すえ、けいかくは はくしと なった。）
經過長時間的討論，計畫最終告吹了。"
4,比较的对象,"私の意見はあなたと同じです。
（わたしの いけんは あなたと おなじです。）
我的意見和您相同。","写真と実物では印象が違いますね。
（しゃしんと じつぶつでは いんしょうが ちがいますね。）
照片和實物給人的印象不同呢。","去年の成績と比べると、今年はかなり良くなった。
（きょねんの せいせきと くらべると、ことしは かなり よくなった。）
和去年的成績相比，今年好很多了。"
5,事物的并列,"机の上には本とペンがあります。
（つくえのうえには ほんと ぺんが あります。）
桌子上有書和筆。","好きな食べ物は寿司とラーメンです。
（すきな たべものは すしと らーめんです。）
喜歡的食物是壽司和拉麵。","田中さんと鈴木さんが会議に出席します。
（たなかさんと すずきさんが かいぎに しゅっせきします。）
田中先生和鈴木先生將會出席會議。"
6,表示副词的状态,"彼はゆっくりと歩き出した。
（かれは ゆっくりと あるきだした。）
他緩慢地開始行走。","星がキラキラと輝いている。
（ほしが きらきらと かがやいている。）
星星閃閃發光。","ドアがバタンと閉まった。
（どあが ばたんと しまった。）
門砰的一聲關上了。"
7,自然现象,"このボタンを押すと、水が出ます。
（このボタンを おすと、みずが でます。）
一按下這個按鈕，水就會出來。","春になると、桜が咲く。
（はるに なると、さくらが さく。）
春天一到，櫻花就會開放。","右に曲がると、駅があります。
（みぎに まがると、えきが あります。）
向右轉就是車站。"
8,事件意外,"窓を開けると、美しい虹が見えた。
（まどを あけると、うつくしい にじが みえた。）
一打開窗戶，就看到了美麗的彩虹。","家に帰ると、誰もいなかった。
（いえに かえると、だれも いなかった。）
一回到家，發現誰都不在。","角を曲がると、猫が飛び出してきた。
（かどを まがると、ねこが とびだしてきた。）
一轉過街角，就有隻貓跳了出來。"
9,行为习惯,"私は夜になると、いつも眠くなります。
（わたしは よるに なると、いつも ねむく なります。）
我一到晚上，就總是會想睡覺。","父は毎朝新聞を読むと、コーヒーを一杯飲む。
（ちちは まいあさ しんぶんを よむと、こーひーを いっぱいのむ。）
我父親每天早上一讀報紙，就會喝一杯咖啡。","疲れると甘いものが食べたくなる。
（つかれると あまいものが たべたくなる。）
人一累就想吃甜食。"
10,客观事实,"１に１を足すと２になります。
（いちに いちを たすと にに なります。）
1加1等於2。","太陽は東から昇ると、西に沈む。
（たいようは ひがしから のぼると、にしに しずむ。）
太陽東升西落。","水は100度になると沸騰する。
（みずは ひゃくどに なると ふっとうする。）
水到100度時會沸騰。"
