網羅,もうら,動詞 (他動詞),,网罗、概括,この辞書は、現代日本語の語彙を網羅している。
脆弱,ぜいじゃく,形容動詞,,脆弱,そのシステムは、セキュリティ面で脆弱性がある。
克明,こくめい,形容動詞,,仔细、详细,彼は事件の状況を克明に記録した。
踏襲,とうしゅう,動詞 (他動詞),,沿袭、继承,新しい経営陣も、前の方針を踏襲するようだ。
暫定,ざんてい,名詞/形容動詞,,暂定,その会議は、暫定的な合意に達した。
漏洩,ろうえい,名詞/動詞 (自動詞),漏らす（他動詞）,泄露,個人情報の漏洩は、企業の信頼を損なう。
罹患,りかん,動詞 (自動詞),,患病,彼は稀な病気に罹患したと診断された。
斡旋,あっせん,名詞/動詞 (他動詞),,斡旋、周旋,労働組合が、労使間の交渉を斡旋した。
錯綜,さくそう,名詞/動詞 (自動詞),,错综复杂,事件の状況は錯綜しており、解決には時間がかかりそうだ。
罷免,ひめん,名詞/動詞 (他動詞),,罢免,不祥事により、彼は役職を罷免された。
罷る,まかる,動詞 (自動詞),,离开（谦让语）,申し訳ありませんが、これで失礼罷ります。
相殺,そうさい,名詞/動詞 (他動詞),,相抵、抵消,プラスとマイナスが相殺されて、結果はゼロになった。
漸次,ぜんじ,副詞,,逐渐地,都市化に伴い、農地が漸次減少している。
捗る,はかどる,動詞 (自動詞),,进展顺利,集中して作業したおかげで、仕事が捗った。
捗々しい,はかばかしい,形容詞,,顺利、有进展（常用于否定）,彼の回復は、あまり捗々しくないようだ。
蔑ろ,ないがしろ,名詞/副詞,,轻视、蔑视,人の意見を蔑ろにしてはいけない。
捏造,ねつぞう,名詞/動詞 (他動詞),,捏造,その記事は、事実を捏造したものだ。
乖離,かいり,名詞/動詞 (自動詞),,乖离、背离,理想と現実の乖離に苦しむ人が多い。
携わる,たずさわる,動詞 (自動詞),,从事、参与,彼は長年、医療の分野に携わってきた。
頻繁,ひんぱん,形容動詞/副詞,,频繁,最近、地震が頻繁に発生している。
漠然,ばくぜん,形容動詞/副詞,,漠然、模糊,彼は将来について漠然とした不安を抱いている。
是正,ぜせい,名詞/動詞 (他動詞),,纠正、改正,その間違いを是正する必要がある。
醸し出す,かもしだす,動詞 (他動詞),,酿出、酝酿出,彼は独特の雰囲気を醸し出している。
拉致,らち,名詞/動詞 (他動詞),,绑架,その国の政府は、国民の拉致を非難された。
萎縮,いしゅく,名詞/動詞 (自動詞),萎縮させる（他動詞）,萎缩,プレッシャーで体が萎縮してしまった。
軋轢,あつれき,名詞,,摩擦、不和,チーム内で軋轢が生じ、プロジェクトが停滞した。
訃報,ふほう,名詞,,讣告,恩師の訃報に接し、深く悲しんだ。
喚起,かんき,名詞/動詞 (他動詞),,唤起,彼のスピーチは、人々の意識を喚起した。
督促,とくそく,名詞/動詞 (他動詞),,督促,支払い期日が過ぎたので、督促の連絡が来た。
忌まわしい,いまわしい,形容詞,,令人厌恶的、不吉利的,その戦争は、忌まわしい記憶として残っている。
憤る,いきどおる,動詞 (自動詞),,愤慨、愤怒,彼は社会の不公平に憤っている。
倦怠期,けんたいき,名詞,,倦怠期,夫婦関係にも倦怠期はあるものだ。
嗜好,しこう,名詞,,嗜好,人それぞれ嗜好が異なる。
罷り通る,まかりとおる,動詞 (自動詞),,盛行、大行其道,そんな理不尽なことが罷り通る世の中であってはいけない。
咄嗟,とっさ,名詞/副詞,,刹那、瞬间,咄嗟の判断で、事故を免れた。
躊躇,ちゅうちょ,名詞/動詞 (自動詞),,犹豫,彼は決断を躊躇していた。
嗜む,たしなむ,動詞 (他動詞),,爱好、修养,彼女は茶道を嗜んでいる。
誹謗,ひぼう,名詞/動詞 (他動詞),,诽谤,根拠のない誹謗中傷はやめるべきだ。
侮辱,ぶじょく,名詞/動詞 (他動詞),,侮辱,彼の言葉は、私にとって大きな侮辱だった。
揶揄,やゆ,名詞/動詞 (他動詞),,揶揄、嘲弄,彼はよく友人を揶揄して笑いをとる。
嘲笑,ちょうしょう,名詞/動詞 (他動詞),,嘲笑,失敗を嘲笑するような行為は許されない。
蔑視,べっし,名詞/動詞 (他動詞),,蔑视,差別や蔑視は許されない。
逸脱,いつだつ,名詞/動詞 (自動詞),,逸脱、偏离,彼は会社の規定から逸脱した行動をとった。
阻害,そがい,名詞/動詞 (他動詞),,阻碍、妨碍,彼の計画は、資金不足によって阻害された。
隠蔽,いんぺい,名詞/動詞 (他動詞),,隐藏、隐瞒,彼は事件の証拠を隠蔽しようとした。
恭しい,うやうやしい,形容詞,,恭敬的、谦恭的,彼は恭しい態度で挨拶をした。
煩わしい,わずらわしい,形容詞,,麻烦的、令人厌烦的,面倒で煩わしい手続きが多い。
潔い,いさぎよい,形容詞,,痛快的、干脆的,彼は自分の非を潔く認めた。
夥しい,おびただしい,形容詞,,很多的、大量的,会場には夥しい数の人々が集まっていた。
虚しい,むなしい,形容詞,,空虚的、徒劳的,努力が報われず、虚しい気持ちになった。
著しい,いちじるしい,形容詞,,显著的、明显的,この分野で著しい進歩が見られる。
相場,そうば,名詞,,行情、市价,現在の株の相場はどうなっていますか。
措置,そち,名詞,,措施、处理,政府は経済対策として新たな措置を講じた。
趣旨,しゅし,名詞,,宗旨、主旨,会議の趣旨を明確にする必要がある。
抵触,ていしょく,名詞/動詞 (自動詞),,抵触、冲突,その行為は法律に抵触する可能性がある。
軋む,きしむ,動詞 (自動詞),軋ませる（他動詞）,吱吱作响,古い木の床が軋んだ。
篩う,ふるう,動詞 (他動詞),篩われる（自動詞）,筛、筛选,応募書類を篩って、数名の候補者を選んだ。
施す,ほどこす,動詞 (他動詞),,施予、施行,貧しい人々に食料を施した。
悉く,ことごとく,副詞,,全部、所有,彼の計画は悉く失敗に終わった。
曾て,かつて,副詞,,曾经,彼は曾てその分野の第一人者だった。
孰れ,いずれ,名詞/副詞,,无论哪个、总有一天,孰れにしても、決断しなければならない。
況して,まして,副詞,,何况、况且,大人も解決できないのだから、況して子供には無理だろう。
宛ら,さながら,副詞,,宛如、简直像,その景色は、宛ら絵画のようだった。
努めて,つとめて,副詞,,尽量、勉力,彼は努めて冷静を保とうとした。
努々,ゆめゆめ,副詞,,务必不、绝不（常用于否定）,このことは努々他言してはならない。
軈て,やがて,副詞,,不久、过一会儿,雨は軈て止むだろう。
忽ち,たちまち,副詞,,立刻、马上,そのニュースは忽ち広まった。
専ら,もっぱら,副詞,,专门、主要,彼は最近、専ら研究に没頭している。
肖る,あやかる,動詞 (自動詞),,沾光、得到好处,成功者の運に肖りたい。
寿ぐ,ことほぐ,動詞 (他動詞),,祝贺、庆贺,新年を寿ぐ。
労る,いたわる,動詞 (他動詞),,体恤、慰劳,病人を労る気持ちが大切だ。
慮る,おもんぱかる,動詞 (他動詞),,考虑、顾虑,他人の気持ちを慮って行動すべきだ。
蔑む,さげすむ,動詞 (他動詞),,轻蔑、鄙视,人を蔑むような態度は許されない。
醸成,じょうせい,名詞/動詞 (他動詞),,酿成、形成,チームワークの醸成が課題だ。
揶揄う,からかう,動詞 (他動詞),,嘲弄、戏弄,彼はよく友人を揶揄っている。
唆す,そそのかす,動詞 (他動詞),,唆使、煽动,悪い仲間が彼を唆した。
賄賂,わいろ,名詞,,贿赂,彼は賄賂を受け取った罪で逮捕された。
煩瑣,はんさ,形容動詞,,繁琐,その手続きは煩瑣で時間がかかる。
懇ろ,ねんごろ,形容動詞,,亲切、热情,彼は客を懇ろにもてなした。
諫める,いさめる,動詞 (他動詞),,规劝、劝告,彼は間違いを犯した部下を諫めた。
煽てる,おだてる,動詞 (他動詞),,煽动、奉承,彼は褒められるとすぐに煽てに乗るタイプだ。
慄く,おののく,動詞 (自動詞),慄かせる（他動詞）,颤抖、发抖,恐怖で体が慄いた。
慄然,りつぜん,形容動詞,,栗然、毛骨悚然,その光景に慄然とした。
躊躇い,ためらい,名詞,,犹豫、迟疑,彼女には何の躊躇いもなかった。
剥奪,はくだつ,名詞/動詞 (他動詞),,剥夺,彼はその罪により、資格を剥奪された。
貶す,けなす,動詞 (他動詞),,贬低、诽谤,他人を貶すような言動は慎むべきだ。
貶める,おとしめる,動詞 (他動詞),,贬低、轻视,彼は常に自分を貶めて話す癖がある。
歪む,ゆがむ,動詞 (自動詞),歪める（他動詞）,歪曲、歪斜,事実が歪んで伝えられた。
歪める,ゆがめる,動詞 (他動詞),歪む（自動詞）,使歪曲、歪曲,彼は顔を歪めて苦痛に耐えた。
侮る,あなどる,動詞 (他動詞),,轻视、侮蔑,敵を侮ってはならない。
嘲る,あざける,動詞 (他動詞),,嘲笑、愚弄,彼は人から嘲られるのを嫌う。
嘲弄,ちょうろう,名詞/動詞 (他動詞),,嘲弄,彼の行動は嘲弄の的となった。
庇う,かばう,動詞 (他動詞),,庇护、袒护,彼は過ちを犯した仲間を庇った。
繕う,つくろう,動詞 (他動詞),,修理、修饰,古い服を繕って着る。
萎える,なえる,動詞 (自動詞),萎えさせる（他動詞）,萎靡、沮丧,彼の言葉に気力が萎えた。
侮蔑,ぶべつ,名詞/動詞 (他動詞),,侮蔑,人を侮蔑するような態度をとってはいけない。
嘲笑う,あざわらう,動詞 (他動詞),,嘲笑、讥笑,彼は私の失敗を嘲笑った。
