"上げる","あげる","表示动作的彻底完成，强调最终成果的产出。","動詞のマス形＋上げる","やっとレポートをかきあげた。","やっとレポートを書き上げた。","终于写完了报告。","ひとばんでセーターをあみあげた。","一晩でセーターを編み上げた。","用一个晚上织好了毛衣。"
"あまり","あまり","表示程度过甚，但其后多接否定性的内容。","副詞として動詞や形容詞を修飾","あまりむりをしないでください。","あまり無理をしないでください。","请不要太勉强自己。","きのうはあまりねていないので、ねむいです。","昨日はあまり寝ていないので、眠いです。","昨天没怎么睡，所以很困。"
"あまりにも","あまりにも","是「あまり」的强调形式，强烈地表现出说话者“非同寻常”的惊讶或感性。","副詞として文全体や用言を修飾","あまりにもうつくしいけしきにことばをうしなった。","あまりにも美しい景色に言葉を失った。","因景色过于美丽而失语。","かれのじこちゅうしんてきなたいどにはあまりにもおどろかされた。","彼の自己中心的な態度にはあまりにも驚かされた。","他那自我中心主义的态度实在令人震惊。"
"合う","あう","表示“互相做某事”，指多个主体相互进行同一动作。","動詞のマス形＋合う","かれらはたすけあって、こんなんをのりこえた。","彼らは助け合って、困難を乗り越えた。","他们互相帮助，克服了困难。","ながくはなしあったけっか、いけんがまとまった。","長く話し合った結果、意見がまとまった。","经过长时间的相互商谈，最终统一了意见。"
"ばいい","ばいい","用于提出建议或劝告，向对方轻微地提议“这样做比较好”，没有很强的强制力。","動詞・い形容詞の仮定形（ば形）＋いい","どうすればいいか分からなければ、せんせいにきけばいい。","どうすればいいか分からなければ、先生に聞けばいい。","如果不知道该怎么办，问老师就好了。","もっとやさいをたべればいいのに。","もっと野菜を食べればいいのに。","多吃点蔬菜就好了啊。"
"ばよかった","ばよかった","表示后悔的心情，意为“如果当时做了某事，结果就会很好（但实际上没做）”。","動詞・い形容詞の仮定形（ば形）＋よかった","もっとはやくいえばよかった。","もっと早く言えばよかった。","要是能早点说就好了。","しけんのまえにもっとべんきょうすればよかった。","試験の前にもっと勉強すればよかった。","考试前要是多学习一会儿就好了。"
"ば～ほど","ば～ほど","表示一方的程度越高，另一方的程度也与之成比例地增高。","動詞・い形容詞の仮定形＋同じ動詞・形容詞の辞書形＋ほど","このほんはよめばよむほどおもしろくなる。","この本は読めば読むほど面白くなる。","这本书越读越有趣。","やまはたかければたかいほど、くうきがうすくなる。","山は高ければ高いほど、空気が薄くなる。","山越高空气越稀薄。"
"ば～のに","ば～のに","假设与事实不符的情况，来表达遗憾或不满的心情。","動詞・い形容詞の仮定形（ば形）＋のに","もっとお金があれば、このカバンがかえるのに。","もっとお金があれば、このカバンが買えるのに。","要是有更多钱的话，就能买这个包了啊。","もっとはやくおきれば、でんしゃにまにあったのに。","もっと早く起きれば、電車に間に合ったのに。","要是起得再早点，就能赶上电车了啊。"
"ばかりで","ばかりで","意为“光是做某事”，多用于表达对其他事都不做、只持续某一行为或状态的不满或批评。","動詞のて形＋ばかりで / 名詞＋ばかりで","あそんでばかりで、ぜんぜんしゅくだいをしない。","遊んでばかりで、全然宿題をしない。","光玩，完全不做作业。","かれはぐちばかりで、なにもしない。","彼は口先ばかりで、何もしない。","他光说不做。"
"ばかりでなく","ばかりでなく","比「だけでなく」更书面化，意为“不仅A，而且B也”，表示范围更广。","名詞・動詞/い形容詞/な形容詞の普通形＋ばかりでなく","かのじょはえいごばかりでなく、フランスごもはなせる。","彼女は英語ばかりでなく、フランス語も話せる。","她不仅会说英语，还会说法语。","このレストランはあじがよいばかりでなく、ふんいきもすばらしい。","このレストランは味が良いばかりでなく、雰囲気も素晴らしい。","这家餐厅不仅味道好，氛围也很棒。"
"べきだ","べきだ","表示说话者“这样做是理所当然的，是道德或社会上正确的”强烈主张或义务感。","動詞の辞書形＋べきだ （「する」は「すべきだ」も可）","やくそくはまもるべきだ。","約束は守るべきだ。","应该遵守约定。","がくせいはもっとほんをよむべきだ。","学生はもっと本を読むべきだ。","学生应该多读书。"
"べきではない","べきではない","是「べきだ」的否定形式，表示“不那样做是理所当然的”，用于禁止或强烈的忠告。","動詞の辞書形＋べきではない","ひとのわるぐちをいうべきではない。","人の悪口を言うべきではない。","不应该说别人坏话。","そんなむちゃなけいかくは、じっこうすべきではない。","そんな無茶な計画は、実行すべきではない。","那样乱来的计划不应该执行。"
"別に～ない","べつに～ない","委婉地否定社会上的普遍看法或对方的想法，意为“并非特别...”。","別に＋動詞・い形容詞・な形容詞・名詞の否定形","べつにあなたをせめているわけではありません。","別にあなたを責めているわけではありません。","我并不是在责备你。","「なにかしんぱいなことでもあるの？」「いえ、べつになにもありません。」","「何か心配なことでもあるの？」「いえ、別に何もありません。」","“你有什么担心的事吗？”“没有，什么事也没有。”"
"ぶりに","ぶりに","表示“经过一段时间后，再次做同样的事情”，含有那段期间很长的感觉。","時間の長さを表す言葉＋ぶりに","ごねんぶりにこきょうへかえった。","5年ぶりに故郷へ帰った。","时隔5年回到了故乡。","きのう、じゅうねんぶりにしょうがっこうのせんせいにあった。","昨日、10年ぶりに小学校の先生に会った。","昨天，见到了时隔10年的小学老师。"
"中","ちゅう","意为“在...期间”，指某个动作或状态正在持续的期间。","動作性の名詞＋中","かいぎちゅうは、おしずかにおねがいします。","会議中は、お静かにお願いします。","会议期间请保持安静。","せんせいはただいまでんわちゅうです。","先生はただ今電話中です。","老师现在正在打电话。"
"だけ","だけ","限定范围，强调“除此之外别无其他”。","名詞・動詞/い形容詞/な形容詞の普通形＋だけ","わたしだけがそのじじつをしっている。","私だけがその事実を知っている。","只有我知道那个事实。","できるだけのことはしました。","できるだけのことはしました。","能做的都做了。"
"だけでなく","だけでなく","比「ばかりでなく」更口语化，用于添加事物，意为“不仅A，而且B也”。","名詞・動詞/い形容詞/な形容詞の普通形＋だけでなく","かれはにほんごだけでなく、えいごもはなせる。","彼は日本語だけでなく、英語も話せる。","他不仅会说日语，还会说英语。","このりょうりは、あじがおいしいだけでなく、みためもきれいだ。","この料理は、味がおいしいだけでなく、見た目もきれいだ。","这道菜不仅味道好，外观也很漂亮。"
"だけど","だけど","是表示转折的连接词，与「しかし」「でも」意思几乎相同，但更口语化，常用于亲近的关系中。","文と文の間に置く","このカメラはたかい。だけど、せいのうはとてもいい。","このカメラは高い。だけど、性能はとても良い。","这个相机很贵，但是性能非常好。","あめがふっている。だけど、でかけなければならない。","雨が降っている。だけど、出かけなければならない。","正在下雨，但是必须出门。"
