荒らす,あらす,to lay waste/devastate,"部屋を荒らす。","Mess up the room."
荒い,あらい,rough/rude,"言葉遣いが荒い。","Rough language."
荒野,こうや,wilderness/wasteland,"荒野をさまよう。","Wander in the wilderness."
打つ,うつ,to hit/strike,"ボールを打つ。","Hit the ball."
打ち身,うちみ,bruise/contusion,"打ち身ができる。","Get a bruise."
打者,だしゃ,batter (baseball),"優秀な打者。","Excellent batter."
畑,はたけ,field (vegetable/crop),"畑を耕す。","Cultivate a field."
恵み,めぐみ,blessing/grace,"自然の恵み。","Blessings of nature."
恵まれる,めぐまれる,to be blessed with,"才能に恵まれる。","Be blessed with talent."
恩恵,おんけい,favor/blessing/benefit,"恩恵を受ける。","Receive a benefit."
知恵,ちえ,wisdom/intelligence,"知恵を出す。","Come up with an idea."
厚い,あつい,thick/deep/warm (feeling),"厚い本。","A thick book."
厚着,あつぎ,thick clothing,"厚着をする。","Wear thick clothes."
温厚,おんこう,gentle/mild-mannered,"温厚な性格。","Gentle personality."
耕す,たがやす,to cultivate/till,"田畑を耕す。","Cultivate fields."
耕作する,こうさくする,to cultivate/farm,"土地を耕作する。","Farm the land."
埋まる,うまる,to be buried/filled,"穴が埋まる。","The hole is filled."
埋める,うめる,to bury/fill (a hole),"穴を埋める。","Fill a hole."
埋葬する,まいそうする,to bury (the dead),"遺体を埋葬する。","Bury a body."
沈む,しずむ,to sink/submerge,"夕日が沈む。","The setting sun sinks."
沈める,しずめる,to sink/submerge (something),"船を沈める。","Sink a ship."
沈黙する,ちんもくする,to be silent,"沈黙を破る。","Break the silence."
沈没する,ちんぼつする,to sink (ship),"船が沈没する。","The ship sinks."
事件,じけん,incident/case,"殺人事件。","Murder case."
要件,ようけん,requirement/requisite,"要件を満たす。","Meet the requirements."
暴れる,あばれる,to act violently/rage,"酔って暴れる。","Rage when drunk."
暴力,ぼうりょく,violence,"家庭内暴力。","Domestic violence."
暴風雨,ぼうふうう,storm/wind and rain,"暴風雨警報。","Storm warning."
殺す,ころす,to kill,"虫を殺す。","Kill an insect."
殺人,さつじん,murder,"殺人事件。","Murder case."
殺到する,さっとうする,to rush/flood (with people),"注文が殺到する。","Orders flood in."
毒,どく,poison/venom,"毒を飲む。","Drink poison."
毒薬,どくやく,poisonous medicine,"毒薬を使う。","Use poisonous medicine."
消毒,しょうどく,disinfection/sterilization,"手を消毒する。","Disinfect hands."
爆発する,ばくはつする,to explode,"爆弾が爆発する。","A bomb explodes."
犯す,おかす,to commit (a crime)/violate,"罪を犯す。","Commit a crime."
犯人,はんにん,criminal/offender,"犯人を捕まえる。","Catch the criminal."
罪,つみ,crime/sin,"罪を償う。","Atoning for a crime."
犯罪,はんざい,crime,"少年犯罪。","Juvenile delinquency."
警察署,けいさつしょ,police station,"警察署に行く。","Go to the police station."
警官,けいかん,police officer,"交通警官。","Traffic police officer."
診察する,しんさつする,to examine (patient),"医者に診察してもらう。","Be examined by a doctor."
察する,さっする,to guess/sense/sympathize,"状況を察する。","Sense the situation."
消防署,しょうぼうしょ,fire station,"消防署に連絡する。","Contact the fire station."
署名する,しょめいする,to sign,"書類に署名する。","Sign a document."
追う,おう,to chase/pursue,"夢を追う。","Pursue a dream."
追求する,ついきゅうする,to pursue/seek,"真実を追求する。","Pursue the truth."
追加する,ついかする,to add/supplement,"注文を追加する。","Add to the order."
追試,ついし,make-up exam,"追試を受ける。","Take a make-up exam."
軍,ぐん,army/military,"軍隊に入る。","Join the army."
軍隊,ぐんたい,army/military forces,"軍隊を派遣する。","Dispatch troops."
兵,へい,soldier/troops,"兵士。","Soldier."
兵庫県,ひょうごけん,Hyogo Prefecture,"兵庫県出身。","From Hyogo Prefecture."
鋭い,するどい,sharp/keen,"鋭いナイフ。","A sharp knife."
鋭利,えいり,sharpness,"鋭利な刃物。","Sharp edge tool."
鈍い,にぶい,dull/slow/blunt,"鈍い痛み。","A dull pain."
鈍る,にぶる,to become dull/weaken,"勘が鈍る。","One's intuition becomes dull."
鈍感,どんかん,insensitivity/dullness,"鈍感な人。","An insensitive person."
旧正月,きゅうしょうがつ,Lunar New Year,"旧正月を祝う。","Celebrate Lunar New Year."
新旧,しんきゅう,new and old,"新旧交代。","Change from old to new."
復旧する,ふっきゅうする,to restore/reconstruct,"ライフラインが復旧する。","Lifelines are restored."
姓名,せいめい,full name,"姓名を記入する。","Fill in one's full name."
旧姓,きゅうせい,former name (maiden name),"旧姓で呼ばれる。","Be called by one's former name."
封筒,ふうとう,envelope,"封筒に入れる。","Put in an envelope."
筒,つつ,pipe/cylinder/tube,"竹筒。","Bamboo tube."
水筒,すいとう,water bottle/flask,"水筒を持っていく。","Take a water bottle."
絡む,からむ,to entangle/be involved with,"事件に絡む。","Be involved in an incident."
連絡,れんらく,contact/communication,"連絡を取る。","Make contact."
偉い,えらい,great/admirable/important,"偉い人。","An important person."
偉大,いだい,great/grand,"偉大な功績。","Great achievement."
賢い,かしこい,wise/clever,"賢い子供。","A clever child."
賢明,けんめい,wise/prudent,"賢明な判断。","Wise decision."
快い,こころよい,pleasant/agreeable,"快い音楽。","Pleasant music."
快晴,かいせい,fine weather/clear sky,"快晴の空。","Clear sky."
