本質,ほんしつ,本质、实质,問題の本質を見極めることが重要だ。
概念,がいねん,概念、想法,抽象的な概念を具体例で説明する。
定義,ていぎ,定義,この用語の定義は学術界で議論されている。
帰結,きけつ,结论、结果,その政策の帰結として、経済は混乱した。
前提,ぜんてい,前提、先决条件,この議論は特定の文化的前提に基づいている。
体系,たいけい,体系、系统,新しい知識を体系的に整理する必要がある。
論拠,ろんきょ,论据、立论依据,彼の主張には十分な論拠がない。
範疇,はんちゅう,范畴、范围,それは哲学的な問題の範疇に入る。
図式,ずしき,图式、模式,彼は単純な二元論的な図式で世界を捉えている。
解釈,かいしゃく,解释、解读,法律の条文をどう解釈するかで意見が分かれた。
認識,にんしき,认识、认知,現状に対する認識に大きなズレがある。
観点,かんてん,观点、角度,異なる観点から事態を分析してみる。
検証,けんしょう,検証、核实,科学的な方法で仮説を検証する。
命題,めいだい,命题,その倫理的な命題について深く考察した。
蓋然性,がいぜんせい,或然性、可能性,事故発生の蓋然性は極めて低いと見積もる。
基盤,きばん,基础、根基,技術革新の基盤を強化する必要がある。
枠組み,わくぐみ,框架、结构,既存の枠組みを超えた発想が求められる。
機構,きこう,机构、机制,この社会には複雑なセーフティネットの機構が働いている。
体制,たいせい,体制、制度,旧態依然とした組織体制を打破する。
構造,こうぞう,构造、结构,社会の階層構造を分析する。
インフラ,インフラ,基础设施,デジタルインフラの整備が急務となっている。
共通項,きょうつうこう,共同点、共同要素,二つの文化にはいくつかの共通項が見られる。
連携,れんけい,协作、配合,企業間の密接な連携が成功の鍵となる。
連鎖,れんさ,连锁、链条,環境破壊は生態系に負の連鎖をもたらす。
内包,ないほう,内含、包含,その言葉は多くの意味を内包している。
統括,とうかつ,统括、总括,プロジェクト全体を統括する責任者。
集約,しゅうやく,集中、归纳,大量のデータを一つのグラフに集約した。
帰属,きぞく,归属、隶属,この問題の最終的な責任は誰に帰属するのか。
汎用性,はんようせい,通用性、广泛适用性,このソフトウェアは汎用性が高い。
不可欠,ふかけつ,不可或缺,グローバル時代において英語力は不可欠だ。
変遷,へんせん,变迁、沿革,都市の景観が時代とともに変遷していく。
趨勢,すうせい,趋势、动向,今後の市場の趨勢を予測する。
波及,はきゅう,波及、影响扩大,経済危機の影響は全世界に波及した。
転換点,てんかんてん,转折点,それは会社の歴史における大きな転換点だった。
変革,へんかく,变革、改革,意識の変革なくして組織の再生はない。
潜在的,せんざいてき,潜在的,潜在的な需要を掘り起こす。
顕在化,けんざいか,显现化、表面化,長年の問題がついに顕在化した。
収斂,しゅうれん,收敛、集中,議論は一つの結論へと収斂されていった。
飽和,ほうわ,饱和,この分野はすでに市場が飽和している。
隆盛,りゅうせい,隆盛、兴盛,一時代を築いた文化の隆盛。
衰退,すいたい,衰退、衰落,産業の衰退を防ぐための対策が急がれる。
刷新,さっしん,革新、刷新,古い慣習を刷新し、新しい体制を築く。
希薄化,きはくか,稀薄化、变淡,地域社会のつながりが希薄化している。
常態化,じょうたいか,常态化,異常気象が常態化しつつある。
乖離,かいり,偏离、背离,理想と現実との間に大きな乖離がある。
