挟む,はさむ,五段動詞・他動詞,N/A,"To sandwich; to insert","パンにハムを挟む。","Sandwich ham in bread."
向かい合う,むかいあう,五段動詞・自動詞,N/A,"To face each other, to be opposite","二人は向かい合って座った。","The two sat facing each other."
面する,めんする,サ行変格活用・自動詞,N/A,"To face, to look out on","窓は海に面している。","The window faces the sea."
おしゃれ,おしゃれ,名詞/形容動動詞,N/A,"Stylish, fashionable","彼女はおしゃれなカフェが好きだ。","She likes stylish cafes."
ちりばめる,ちりばめる,一段動詞・他動詞,N/A,"To inlay, to stud, to sprinkle","夜空に星がちりばめられている。","Stars are sprinkled across the night sky."
堀,ほり,名詞,N/A,"Moat, ditch","お城の周りには深い堀がある。","There is a deep moat around the castle."
にぎわう,にぎわう,五段動詞・自動詞,N/A,"To be bustling, to be crowded","お祭りでにぎわう通り。","A street bustling with a festival."
貯める,ためる,一段動詞・他動詞,N/A,"To save, to accumulate","旅行のためにお金を貯める。","To save money for a trip."
譲る,ゆずる,五段動詞・他動詞,N/A,"To give up, to hand over, to concede","電車でお年寄りに席を譲った。","I gave up my seat to an elderly person on the train."
つかむ,つかむ,五段動詞・他動詞,N/A,"To grab, to grasp, to seize","チャンスをつかむ。","To seize an opportunity."
効く,きく,五段動詞・自動詞,N/A,"To be effective, to work","この薬は風邪によく効く。","This medicine works well for colds."
足りる,たりる,一段動詞・自動詞,N/A,"To be enough, to be sufficient","この量で十分足りる。","This amount is completely sufficient."
通じる,つうじる,一段動詞・自動詞,N/A,"To be understood, to be communicated","彼の気持ちが私に通じた。","His feelings were communicated to me."
受かる,うかる,五段動詞・自動詞,N/A,"To pass (an exam), to be accepted","彼は第一志望の大学に受かった。","He got accepted into his first-choice university."
など,など,副助詞,N/A,"And so on, etc.","リンゴやバナナなど、果物を買った。","I bought fruits like apples and bananas, etc."
過ごす,すごす,五段動詞・他動詞,N/A,"To spend (time), to pass (time)","夏休みを家族と過ごす。","To spend the summer vacation with my family."
蒸し暑い,むしあつい,形容詞,N/A,"Hot and humid","日本の夏は蒸し暑い。","Japanese summers are hot and humid."
都,みやこ,名詞,N/A,"Capital city","古都京都を訪れた。","I visited the ancient capital, Kyoto."
かつて,かつて,副詞,N/A,"Once, formerly","この場所はかつて海だった。","This place was once the sea."
まね,まね,名詞,N/A,"Imitation, mimicry","先生のまねをして字を書いた。","I wrote imitating the teacher's handwriting."
広大,こうだい,形容動詞,N/A,"Vast, immense","広大な土地に家を建てる。","To build a house on a vast plot of land."
そびえる,そびえる,一段動詞・自動詞,N/A,"To tower, to soar","空に高層ビルがそびえている。","Skyscrapers are soaring into the sky."
鐘,かね,名詞,N/A,"Bell","教会の鐘の音が聞こえる。","I can hear the sound of the church bell."
さっそく,さっそく,副詞,N/A,"Immediately, right away","さっそく宿題に取りかかった。","I immediately started on my homework."
あっという間に,あっというまに,副詞,N/A,"In a flash, in the blink of an eye","時間が経つのはあっという間だ。","Time passes in a flash."
正面,しょうめん,名詞,N/A,"Front, facade","建物の正面玄関で待つ。","Wait at the main entrance of the building."
見下ろす,みおろす,五段動詞・他動詞,N/A,"To look down on, to overlook","丘の上から街を見下ろす。","To overlook the town from the top of the hill."
かける,かける,一段動詞・他動詞,N/A,"To hang, to wear, to spend","壁に絵をかける。","To hang a picture on the wall."
見渡す,みわたす,五段動詞・他動詞,N/A,"To look out over, to survey","展望台から街全体を見渡す。","To survey the entire city from the observation deck."
夜空,よぞら,名詞,N/A,"Night sky","満月が夜空に輝いている。","A full moon is shining in the night sky."
浮かび上がる,うかびあがる,五段動詞・自動詞,N/A,"To emerge, to rise to the surface","暗闇の中に彼の顔が浮かび上がった。","His face emerged from the darkness."
かんしん,かんしん,名詞/形容動詞,N/A,"Admiration, impressed","彼の熱心さには感心する。","I'm impressed by his enthusiasm."
あたり,あたり,名詞,N/A,"Vicinity, surroundings","このあたりは静かで住みやすい。","This vicinity is quiet and easy to live in."
気がする,きがする,慣用表現,N/A,"To feel, to have a feeling","雨が降りそうな気がする。","I have a feeling it's going to rain."
声をかける,こえをかける,慣用表現,N/A,"To speak to, to call out to","知らない人に声をかけるのは勇気がいる。","It takes courage to talk to strangers."
抱く,いだく,五段動詞・他動詞,N/A,"To embrace, to hold (an idea, hope)","夢を抱いてこの町に来た。","I came to this town with a dream."
すやすや,すやすや,副詞,N/A,"Sleeping peacefully","赤ちゃんがすやすやと眠っている。","The baby is sleeping peacefully."
はねる,はねる,一段動詞・自動詞,N/A,"To jump, to splash","雨の日に車が泥水をはねる。","On a rainy day, cars splash muddy water."
認める,みとめる,一段動詞・他動詞,N/A,"To admit, to recognize","自分の間違いを認める。","To admit one's own mistake."
飼い主,かいぬし,名詞,N/A,"Pet owner","犬が飼い主の帰りを待っている。","The dog is waiting for its owner to come home."
撫でる,なでる,一段動詞・他動詞,N/A,"To stroke, to pet","頭を優しく撫でる。","To gently stroke the head."
従業員,じゅうぎょういん,名詞,N/A,"Employee, staff member","あの会社の従業員は皆親切だ。","The employees of that company are all kind."
汚染,おせん,名詞,N/A,"Pollution","大気汚染が深刻な問題だ。","Air pollution is a serious problem."
言語,げんご,名詞,N/A,"Language","彼は複数の言語を話せる。","He can speak multiple languages."
吸い殻,すいがら,名詞,N/A,"Cigarette butt","道に吸い殻を捨てるのはやめましょう。","Let's stop throwing cigarette butts on the street."
消し忘れ,けしわすれ,名詞,N/A,"Forgetting to turn off","電気の消し忘れに注意。","Be careful not to forget to turn off the light."
優秀賞,ゆうしゅうしょう,名詞,N/A,"Excellence Award, Outstanding Performance Award","彼はコンクールで優秀賞を獲得した。","He won the Excellence Award in the competition."
七転び八起き,ななころびやおき,四字熟語,N/A,"Getting up seven times when falling down eight (perseverance)","七転び八起きの精神で頑張る。","To persevere with a spirit of getting up every time you fall."
明太子,めんたいこ,名詞,N/A,"Mentaiko (spicy cod roe)","おにぎりの具に明太子を入れる。","Put mentaiko in the rice ball filling."
唐辛子,とうがらし,名詞,N/A,"Chili pepper, red pepper","料理に唐辛子を少し加える。","Add a little chili pepper to the dish."
拝啓,はいけい,名詞,N/A,"Dear Sir/Madam (formal letter opening)","拝啓、皆様におかれましては...。","Dear sirs, regarding all of you..."
ぽかぽか,ぽかぽか,副詞,N/A,"Warm and sunny","日差しがぽかぽかと気持ちいい。","The sunlight is warm and feels good."
むしむし,むしむし,副詞,N/A,"Muggy, humid","今日はむしむしと暑い日だ。","Today is a muggy and hot day."
じめじめ,じめじめ,副詞,N/A,"Damp, humid, gloomy","梅雨の時期は部屋がじめじめする。","During the rainy season, the room is damp."
からっと,からっと,副詞,N/A,"Crisp, clear, dry","洗濯物がからっと乾いた。","The laundry dried crisply."
ぽつぽつ,ぽつぽつ,副詞,N/A,"Sporadically, in drops","空から雨がぽつぽつと降り始めた。","Rain started falling from the sky in drops."
じめじめ,じめじめ,副詞,N/A,"Damp, gloomy, depressing","じめじめした話は聞きたくない。","I don't want to hear depressing stories."
しとしと,しとしと,副詞,N/A,"Softly, quietly (drizzle)","朝から雨がしとしとと降っている。","It's been drizzling quietly since morning."
ザーザー,ザーザー,副詞,N/A,"Loudly (heavy rain)","外では雨がザーザー降っている。","It's raining heavily outside."
どんより,どんより,副詞,N/A,"Gloomy, overcast, dull","どんよりした空模様だ。","The sky is overcast."
夫妻,ふさい,名詞,N/A,"Husband and wife, couple","仲の良いご夫妻。","A good-natured couple."
一人娘,ひとりむすめ,名詞,N/A,"Only daughter","彼女は両親の一人娘だ。","She is her parents' only daughter."
通う,かよう,五段動詞・自動詞,N/A,"To commute, to go to and from","毎日電車で学校に通う。","To commute to school by train every day."
意見,いけん,名詞,N/A,"Opinion, view","自分の意見をはっきり言う。","To state one's opinion clearly."
成長,せいちょう,名詞,N/A,"Growth, development","子供の成長を見守る。","To watch over a child's growth."
先日,せんじつ,名詞,N/A,"The other day, recently","先日、友人と食事をした。","I had a meal with a friend the other day."
児童,じどう,名詞,N/A,"Children, pupils","この本は児童向けに書かれている。","This book is written for children."
英検,えいけん,名詞,N/A,"Eiken (English proficiency test)","英検2級に合格した。","I passed the Eiken Level 2 exam."
合格,ごうかく,名詞,N/A,"Passing (an exam), success","試験に合格する。","To pass an exam."
