アドバイス,advice,建议
アレルギー,allergy,过敏
アミノ,amino,氨基
アパート,apartment,公寓
アルバイト,arbeit(German),打工
アジア,asia,亚洲
バランス,balance,平衡
バーゲン,bargain,特价
ベンチ,bench,长椅
ビール,beer,啤酒
ベストコンディション,best condition,最佳状态
ビジネス,business,商务
ボタン,button,纽扣
カフェイン,caffeine,咖啡因
カプセル,capsule,胶囊
チャイム,chime,钟声
クリスマス,christmas,圣诞节
サークル,circle,圈子
クリック,click,点击
カラフル,colorful,多彩的
カラーセラピー,color therapy,色彩疗法
コメント,comment,评论
コンシェルジュ,concierge,礼宾员
ドライバー,driver,司机
ドレッシング,dressing,沙拉酱
イヤリング,earring,耳环
エネルギー,energy,能量
ヨーロッパ,europe,欧洲
ファッション,fashion,时尚
フォーク,fork,叉子
フルーツ,fruits,水果
ゲームソフト,game software,游戏软件
ゲスト,guest,客人
ヒーリングパワー,healing power,治愈力
ホルモン,hormone,激素
ホテル,hotel,酒店
アイデア,idea,主意
イメージ,image,形象
インフルエンザ,influenza,流行性感冒
インストール,install,安装
インスタントラーメン,instant ramen,速食面
インテリア,interior,室内装潢
インターネット,internet,因特网
アイロン,iron,熨斗
ジョギング,jogging,慢跑
メール,mail,邮件
メダル,medal,奖牌
メニュー,menu,菜单
メキシコ,mexico,墨西哥
ミネラル,minerals,矿物质
マイペース,my pace,我行我素
ニューヨーク,new york,纽约
ノー,no,不
ノート,note,笔记
オレンジ,orange,橙色
パスタ,pasta,意大利面
パーセント,percent,百分比
ペット,pet,宠物
ピンク,pink,粉色
プラン,plan,计划
ポスト,post,邮筒
ポテトサラダ,potato salad,土豆沙拉
プライベート,private,私人的
プロ,pro,专业的
レシピ,recipe,食谱
リラックス,relax,放松
レポート,report,报告
レントゲン,röntgen(German),X光
セールスマン,salesman,销售员
サービス,service,服务
シャッター,shutter,快门
サイン,sign,信号
シャツ,shirt,衬衫
シチュー,stew,炖菜
ストライプ,stripe,条纹
ストレス,stress,压力
ターゲット,target,目标
タイトル,title,标题
トマト,tomato,番茄
トレーニング,training,训练
トラック,truck,卡车
バラエティー,variety,种类
ビタミン,vitamins,维他命
イエス,yes,是的
ヨーグルト,yogurt,酸奶
