Proliferate,激增/扩散,The use of social media has caused misinformation to proliferate rapidly.,社交媒体的使用导致虚假信息迅速扩散。
Reciprocal,互惠的/相互的,The two species have a reciprocal relationship that benefits both.,这两个物种之间有一种互惠关系，对双方都有利。
Substantiate,证实/证明,The researcher needed more data to substantiate her bold claims.,研究人员需要更多数据来证实她大胆的断言。
Transient,转瞬即逝的/短暂的,The effect of the drug was transient lasting only a few hours.,这种药物的效果是短暂的，仅持续了几个小时。
Axiom,公理/格言,It is a biological axiom that all living cells come from pre-existing cells.,所有生物细胞都来自预先存在的细胞，这是一个生物学公理。
Capricious,反复无常的/善变的,The region is known for its capricious weather patterns.,该地区以其反复无常的天气模式而闻名。
Delineate,描绘/勾勒,The report clearly delineates the steps of the new medical procedure.,该报告清楚地勾勒出了新医疗程序的步骤。
Ephemeral,生命短暂的/朝生暮死的,The beauty of the cherry blossoms is ephemeral lasting only a week.,樱花的特别之处在于其短暂的美丽，仅持续一周。
Galvanize,激起/电镀,The speech was intended to galvanize the public into action.,这场演讲旨在激励公众采取行动。
Idiosyncrasy,习性/特质,One idiosyncrasy of this bird species is its unique nesting habit.,这种鸟类的一个特质是其独特的筑巢习惯。
Lucid,清晰的/明了的,The professor gave a lucid explanation of a very complex topic.,教授对一个非常复杂的话题给出了清晰明了的解释。
Magnanimous,宽宏大量的,The winning team was magnanimous in victory praising their opponents.,获胜队在胜利时表现得宽宏大量，称赞了他们的对手。
Obfuscate,使模糊/使困惑,The technical jargon used in the report only served to obfuscate the main point.,报告中使用的技术术语只会使要点变得模糊不清。
Palliate,减轻/缓和,The new treatment can palliate the symptoms but cannot cure the disease.,这种新疗法可以缓解症状，但不能根治疾病。
Quell,镇压/消除,The government took steps to quell the rising public anxiety.,政府采取措施以消除日益增长的公众焦虑。
Reticent,沉默寡言的,The witness was reticent about providing details of the accident.,证人对提供事故细节表现得沉默寡言。
Taciturn,沉默寡言的/不苟言笑的,The researcher was known for being taciturn and focused on his work.,这位研究员以沉默寡言、专注于工作而闻名。
Vacillate,犹豫不决/动摇,He continued to vacillate between the two research directions.,他在两个研究方向之间不断徘徊。
Zealot,狂热者,He is a zealot for environmental protection and spends all his time on it.,他是环境保护的狂热者，把所有时间都花在上面。
Abrasive,研磨的/粗鲁的,The abrasive surface of the rock made it difficult to climb.,岩石粗糙的表面使其难以攀爬。
Adroit,熟练的/灵巧的,The surgeon was adroit at performing complex heart operations.,这位外科医生擅长进行复杂的心脏手术。
Animosity,憎恶/仇恨,There was no personal animosity between the two competing scientists.,这两位竞争的科学家之间没有个人恩怨。
Arduous,艰巨的/费力的,The hikers completed the arduous journey up the mountain.,登山者完成了上山的艰巨旅程。
Cacophony,刺耳的声音/不和谐音,The market was filled with a cacophony of shouting and honking.,市场上充满了叫喊声和喇叭声的刺耳噪音。
Exacerbate,加剧/使恶化,The new policy will only exacerbate the existing social problems.,新政策只会加剧现有的社会问题。
Fastidious,挑剔的/讲究的,The animal is a fastidious eater and only consumes specific plants.,这种动物非常挑剔，只吃特定的植物。
Gregarious,群居的/社交的,Wolves are gregarious animals that live and hunt in packs.,狼是群居动物，成群结队地生活和狩猎。
Iconoclast,特立独行的人/打破旧习者,The artist was an iconoclast who challenged traditional styles.,这位艺术家是一个挑战传统风格的打破旧习者。
Impassive,冷漠的/无动于衷的,He remained impassive throughout the long and difficult trial.,在漫长而困难的审判过程中，他始终无动于衷。
Indefatigable,不知疲倦的,The indefatigable researcher worked through the night to finish.,不知疲倦的研究人员通宵工作以完成任务。
Ineffable,不可言喻的/难以形容的,The beauty of the sunset was ineffable and left everyone speechless.,日落的美景不可言喻，让每个人都惊叹不已。
Innocuous,无害的,The bacteria were found to be completely innocuous to humans.,这些细菌被发现对人类完全无害。
Insipid,枯燥的/无味的,The lecture was so insipid that many students fell asleep.,讲座如此枯燥，以至于许多学生都睡着了。
Meticulous,一丝不苟的,The engineer was meticulous in checking every detail of the design.,工程师在一丝不苟地检查设计的每一个细节。
Mollify,安抚/缓和,The company tried to mollify the angry customers with a refund.,公司试图通过退款来安抚愤怒的客户。
Obsequious,谄媚的/奉承的,The assistant's obsequious behavior made everyone feel uncomfortable.,助理谄媚的行为让每个人都感到不舒服。
Onerous,繁重的/艰巨的,The task of cataloging all the artifacts was extremely onerous.,将所有文物编目的任务极其繁重。
Paradigm,范式/典范,This discovery led to a paradigm shift in neural engineering.,这一发现导致了神经工程领域的范式转变。
Pedantic,迂腐的/炫耀学问的,His pedantic teaching style made it difficult for students to focus.,他迂腐的教学风格让学生难以集中注意力。
Penchant,嗜好/倾向,He has a penchant for collecting rare ancient manuscripts.,他有收集稀有古代手稿的嗜好。
Perfunctory,敷衍的/例行公事的,The inspector gave the building a perfunctory check before leaving.,检查员在离开前对建筑进行了敷衍的检查。
Plethora,过多/过量,The study provided a plethora of data on the new BCI system.,该研究提供了关于新脑机接口系统的大量数据。
Pristine,原始的/崭新的,The forest has remained in a pristine state for thousands of years.,这片森林几千年来一直保持着原始状态。
Propriety,得体/礼节,She always behaves with great propriety in formal situations.,她在正式场合总是表现得非常得体。
Quiescent,静止的/沉寂的,The volcano has been quiescent for more than a hundred years.,这座火山已经沉寂了一百多年。
Satiate,使饱足/满足,No amount of praise could satiate his desire for recognition.,再多的赞扬也无法满足他对认可的渴望。
Soporific,催眠的/困倦的,The professor's slow and steady voice had a soporific effect.,教授缓慢而平稳的声音具有催眠效果。
Specious,似是而非的/华而不实的,His argument was specious and easily proven wrong by facts.,他的论证似是而非，很容易被事实证明是错误的。
Sublime,庄严的/宏伟的,The mountain peaks offered a sublime view of the valley below.,山峰提供了山谷下方宏伟的景色。
Terse,简洁的/精练的,The captain gave a terse command to the crew.,船长向船员下达了简洁的命令。
Ubiquitous,无处不在的,Smartphones have become ubiquitous in almost every part of the world.,智能手机在世界几乎每一个角落都已无处不在。
Vacuous,空虚的/无意义的,The movie was criticized for its vacuous plot and weak characters.,这部电影因其空洞的剧情和苍白的角色而受到批评。
Venerate,崇敬/尊崇,Many cultures venerate their ancestors through ancient rituals.,许多文化通过古代仪式来崇拜他们的祖先。
Veracity,真实性/诚实,The lawyer questioned the veracity of the witness's statement.,律师质疑证人陈述的真实性。
Volatile,易变的/不稳定的,The chemicals are highly volatile and must be handled with care.,这些化学物质极易挥发，必须小心处理。
Wane,衰落/变小,Support for the new policy began to wane after the first year.,对新政策的支持在第一年后开始减弱。
Alleviate,减轻/缓和,The new medicine was designed to alleviate chronic pain.,这种新药旨在减轻慢性疼痛。
Amicable,友好的/和睦的,The two countries reached an amicable settlement of the dispute.,两国达成了争议的友好解决。
Benevolent,仁慈的,The organization was founded by a benevolent donor.,该组织是由一位仁慈的捐赠者创立的。
Cohesion,凝聚力/结合,The success of the project depended on the cohesion of the team.,项目的成功取决于团队的凝聚力。
Correlation,相关性,Scientists found a strong correlation between diet and health.,科学家发现饮食与健康之间存在强相关性。
Diffuse,扩散/弥漫,The scent of flowers diffused slowly through the open window.,花香通过打开的窗户缓缓扩散。
Disseminate,传播/散布,The researchers used the internet to disseminate their findings.,研究人员利用互联网传播他们的研究结果。
Empirical,实证的/基于经验的,The theory is supported by a wealth of empirical evidence.,该理论得到了丰富的实证支持。
Equilibrium,平衡/均衡,The ecosystem reached a state of equilibrium after many years.,经过多年，生态系统达到了平衡状态。
Explicate,详细说明/阐释,The professor's job is to explicate complex scientific theories.,教授的工作是阐释复杂的科学理论。
Hypothesis,假设,Scientists are testing the hypothesis through experiments.,科学家们正通过实验测试这个假设。
Inhibit,抑制/阻碍,Fear of failure can inhibit a student's creative potential.,对失败的恐惧会抑制学生的创造潜力。
Intricate,错错复杂的,The watch consists of many small and intricate parts.,这块手表由许多细小且错综复杂的零件组成。
Metamorphosis,变形/蜕变,The caterpillar undergoes a metamorphosis to become a butterfly.,毛虫经历蜕变变成蝴蝶。
Mitigate,减轻/缓和,Engineers are looking for ways to mitigate the noise of the engine.,工程师们正在寻找减轻发动机噪音的方法。
Nuance,细微差别,A good translator must capture every nuance of the language.,优秀的翻译者必须捕捉语言的每一个细微差别。
Pervasive,普遍的/渗透的,The influence of digital technology is pervasive in modern life.,数字技术的影响在现代生活中无处不在。
Pragmatic,务实的,We need to take a pragmatic approach to solve this problem.,我们需要采取务实的方法来解决这个问题。
Prevalent,普遍的/流行的,The belief in traditional medicine is still prevalent in some areas.,在某些地区，对传统医学的信仰仍然很普遍。
Skeptical,怀疑的,Many experts remain skeptical about the feasibility of the plan.,许多专家对该计划的可行性仍持怀疑态度。
Subsequent,随后的,The discovery led to many subsequent research projects.,这一发现引发了许多随后的研究项目。
Synthesis,综合/合成,The paper provides a synthesis of different research findings.,论文综合了不同的研究结果。
Tectonic,地壳构造的,Tectonic plate movements can cause massive earthquakes.,地壳板块运动会导致大地震。
Unprecedented,史无前例的,The scale of the disaster was unprecedented in history.,这场灾难的规模在历史上是史无前例的。
Urbanization,城市化,Urbanization has led to significant changes in the landscape.,城市化导致了景观的显著变化。
Viable,可行的/能存活的,Without more funding the project is no longer a viable option.,没有更多资金，该项目就不再是一个可行的选择。
Analogous,类似的,The human heart is analogous to a mechanical pump.,人心脏类似于机械泵。
Arduous,艰巨的,The research required years of arduous field work.,这项研究需要多年的艰苦实地工作。
Augment,增强/扩增,The system uses AI to augment the driver's vision at night.,该系统利用人工智能增强驾驶员在夜间的愿景。
Bias,偏见,The study was criticized for its cultural bias.,该研究因其文化偏见而受到批评。
Criteria,标准,The main criteria for the scholarship are academic excellence.,奖学金的主要标准是学业优秀。
Dimension,维度/方面,We need to consider the economic dimension of the issue.,我们需要考虑该问题的经济维度。
Expose,暴露/揭露,The report exposed the long-term effects of pollution.,报告揭露了污染的长期影响。
Fluctuate,波动,The price of oil fluctuates based on global demand.,油价根据全球需求而波动。
Hinder,阻碍,The language barrier hindered the progress of the research.,语言障碍阻碍了研究的进展。
Incentive,激励,The company offers incentives to improve productivity.,公司提供激励措施以提高生产率。
Innovation,创新,Technical innovation is essential for economic growth.,技术创新对经济增长至关重要。
Mechanism,机制,The mechanism of the human brain is still not fully understood.,人类大脑的机制尚未被完全理解。
Norm,规范/常态,Working from home has become the norm for many professionals.,在家办公已成为许多专业人士的常态。
Parallel,类似的/平行的,There are many parallels between the two historical events.,这两个历史事件之间有许多相似之处。
Perspective,观点/视角,We need to look at the problem from a different perspective.,我们需要从不同的角度来看待这个问题。
Potential,潜在的,The new technology has the potential to transform the world.,新技术具有改变世界的潜力。
Qualitative,定性的,The researchers conducted qualitative interviews with patients.,研究人员对患者进行了定性访谈。
Quantitative,定量的,Quantitative analysis is based on numerical data.,定量分析是基于数字数据的。
Scope,范围,The scope of the project is larger than we initially thought.,该项目的范围比我们最初想象的要大。
