"～あげくに",,"表示结果，后项结果一般带有消极意义。“最后…/最终…/终于…”。前面通常跟～思う／～悩む／～迷う等词语搭配使用。","Vた / 名詞＋の + あげくに","かれは さんざん まよった あげく、けっきょく どちらも えらばなかった。","彼はさんざん迷ったあげく、結局どちらも選ばなかった。","他犹豫了半天，结果哪个都没选。","ながい ぎろんの あげく、かいぎは けつろんが でないまま おわった。","長い議論のあげく、会議は結論が出ないまま終わった。","长时间讨论的结果是，会议在没有得出结论的情况下就结束了。"
"～あまりに",,"表示程度（高），常与表示感情的词一起使用。“由于过于…因而…”。","Vる / 形容動詞な / 名詞の + あまりに","うれしさの あまり、かのじょは なきだした。","嬉しさのあまり、彼女は泣き出した。","由于过于高兴，她哭了出来。","しんぱいのあまり、きのうのよるは ぜんぜん ねむれなかった。","心配のあまり、昨日の夜は全然眠れなかった。","因为过度担心，昨天晚上一整晚都没睡着。"
"～以上は",,"前项是确定的事实，后项常接表示决心、义务、建议、推量等表达方式。“既然…就…”。","普通形 + 以上は (形容動詞・名詞+である)","やくそくした いじょうは、まもらなければならない。","約束した以上は、守らなければならない。","既然约好了，就必须遵守。","しけんに もうしこんだ いじょうは、ぜんりょくを つくすつもりだ。","試験に申し込んだ以上は、全力を尽くすつもりだ。","既然已经报名考试了，我就打算全力以赴。"
"～一方／一方で(は)","反面／半面","表示事物的两个方面。“一方面…另一方面…”。","普通形修饰名词 + 一方／一方で(は) (形容動詞・名詞+である)","かれは ゆうしゅうな けんきゅうしゃである いっぽうで、すばらしい ちちおやでも ある。","彼は優秀な研究者である一方で、素晴らしい父親でもある。","他一方面是一位优秀的研究者，另一方面也是一位出色的父亲。","この まちは にぎやかな いっぽうで、こうつうじゅうたいが もんだいに なっている。","この町は賑やかな一方で、交通渋滞が問題になっている。","这个城市很繁华，但另一方面，交通堵塞也成了一个问题。"
"～一方だ",,"表示某种倾向、状态等朝一个方向不断发展（多用于变化）。“不断…/越来越…”。","Vる + 一方だ","さいきん、ぶっかは あがる いっぽうだ。","最近、物価は上がる一方だ。","最近，物價一直在上漲。","かれの にほんごの のうりょくは のびる いっぽうだ。","彼の日本語の能力は伸びる一方だ。","他的日語能力不斷在進步。"
"～上で",,"句型一 (Vる/名詞の+上で)：在…方面/在…上<br>句型二 (Vた/名詞の+上で)：在…之后","","けんこうかんりの うえで、てきどな うんどうは かかせません。","健康管理の上で、適度な運動は欠かせません。","在健康管理方面，適度的運動是不可或缺的。","かぞくと そうだんした うえで、へんじをします。","家族と相談した上で、返事をします。","和家人商量之後，我會給您答覆。"
"～うちに",,"句型一 (Vる・ない/形容詞/名詞の+うちに)：在…期间/趁着…<br>句型二 (Vている/ない+うちに)：…着…/不知不觉…","","わかいうちに、いろいろな ことを けいけんした ほうがいい。","若いうちに、色々なことを経験した方がいい。","最好趁年輕的時候，多體驗各種各樣的事情。","ほんを よんでいるうちに、ねてしまった。","本を読んでいるうちに、寝てしまった。","讀著讀著書，不知不覺就睡著了。"
"～(よ)うではないか",,"表示建议或劝诱，包含强烈的呼吁、号召的语气。“让我们…吧”。","V意志形 + (よ)うではないか","せかいへいわの ために、みんなで きょうりょくしようではないか。","世界平和のために、みんなで協力しようではないか。","為了世界和平，讓我們大家一起合作吧。","こんかいの しっぱいを のりこえ、あらたな スタートを きろうじゃないか。","今回の失敗を乗り越え、新たなスタートを切ろうじゃないか。","讓我們跨越這次的失敗，迎向新的開始吧。"
"～得る","ざるを得ない／かねない","表示可能性，“能…/可能…”。否定是「得ない」。<br>注意：只表示可能性，不表示能力。","Vます + 得る","それは じゅうぶんに ありうることだ。","それは十分にあり得ることだ。","那是完全可能發生的事。","かがくの しんぽは、これまで ふかのうと かんがえられてきた ことを かのうにしうる。","科学の進歩は、これまで不可能と考えられてきたことを可能にし得る。","科學的進步，能將至今為止被認為不可能的事情變為可能。"
"～おかげで",,"表示原因，多亏了前面的原因，才有了好的结果。“托…的福/多亏…”。","普通形修饰名词 + おかげで","みなさまの おかげで、プロジェクトは ぶじに かんせいしました。","皆様のおかげで、プロジェクトは無事に完成しました。","托各位的福，企劃順利完成了。","くすりを のんだおかげで、ねつが さがりました。","薬を飲んだおかげで、熱が下がりました。","多虧吃了藥，燒退了。"
