"～あげくに",,"Indicates a result, generally with a negative connotation. ""In the end... / Finally... / Ultimately..."". Often used with words like ～思う (think), ～悩む (worry), ～迷う (hesitate).","V-ta / Noun＋の + あげくに","かれは さんざん まよった あげく、けっきょく どちらも えらばなかった。","彼はさんざん迷ったあげく、結局どちらも選ばなかった。","He hesitated for a long time, and in the end, didn't choose either.","ながい ぎろんの あげく、かいぎは けつろんが でないまま おわった。","長い議論のあげく、会議は結論が出ないまま終わった。","After a long discussion, the meeting ended without reaching a conclusion."
"～あまりに",,"Indicates a high degree, often used with words expressing emotions. ""Due to excessive... / So much so that..."".","V-ru / Adjective (na) / Noun + の + あまりに","うれしさの あまり、かのじょは なきだした。","嬉しさのあまり、彼女は泣き出した。","She cried out of excessive joy.","しんぱいのあまり、きのうのよるは ぜんぜん ねむれなかった。","心配のあまり、昨日の夜は全然眠れなかった。","Because of too much worry, I couldn't sleep at all last night."
"～以上は",,"The preceding clause is a confirmed fact, and the following clause often expresses determination, obligation, suggestion, or inference. ""Since... then..."".","Plain form + 以上は (Adjective (na) / Noun + である)","やくそくした いじょうは、まもらなければならない。","約束した以上は、守らなければならない。","Since we've made a promise, we must keep it.","しけんに もうしこんだ いじょうは、ぜんりょくを つくすつもりだ。","試験に申し込んだ以上は、全力を尽くすつもりだ。","Since I've applied for the exam, I intend to put in my best effort."
"～一方／一方で(は)","Conversely / On the other hand","Expresses two aspects of something. ""On one hand... on the other hand..."".","Plain form modifying noun + 一方／一方で(は) (Adjective (na) / Noun + である)","かれは ゆうしゅうな けんきゅうしゃである いっぽうで、すばらしい ちちおやでも ある。","彼は優秀な研究者である一方で、素晴らしい父親でもある。","He is an excellent researcher, and on the other hand, also a wonderful father.","この まちは にぎやかな いっぽうで、こうつうじゅうたいが もんだいに なっている。","この町は賑やかな一方で、交通渋滞が問題になっている。","This city is bustling, but on the other hand, traffic congestion has become a problem."
"～一方だ",,"Indicates that a certain tendency or state is continuously developing in one direction (often used for changes). ""Continuously... / More and more..."".","V-ru + 一方だ","さいきん、ぶっかは あがる いっぽうだ。","最近、物価は上がる一方だ。","Recently, prices have been continuously rising.","かれの にほんごの のうりょくは のびる いっぽうだ。","彼の日本語の能力は伸びる一方だ。","His Japanese language ability is continuously improving."
"～上で",,"Pattern 1 (V-ru / Noun + の + 上で): In terms of... / On the subject of...\<br\>Pattern 2 (V-ta / Noun + の + 上で): After... / Following...","","けんこうかんりの うえで、てきどな うんどうは かかせません。","健康管理の上で、適度な運動は欠かせません。","In terms of health management, moderate exercise is indispensable.","かぞくと そうだんした うえで、へんじをします。","家族と相談した上で、返事をします。","After consulting with my family, I will give you an answer."
"～うちに",,"Pattern 1 (V-ru・nai / Adjective / Noun + の + うちに): During... / While... / Taking advantage of...\<br\>Pattern 2 (V-te iru / nai + うちに): While... / Unconsciously...","","わかいうちに、いろいろな ことを けいけんした ほうがいい。","若いうちに、色々なことを経験した方がいい。","It's best to experience various things while you're young.","ほんを よんでいるうちに、ねてしまった。","本を読んでいるうちに、寝てしまった。","While reading the book, I unconsciously fell asleep."
"～(よ)うではないか",,"Expresses a suggestion or invitation, including a strong appeal or call to action. ""Let's (do something)..."".","V-volitional form + (よ)うではないか","せかいへいわの ために、みんなで きょうりょくしようではないか。","世界平和のために、みんなで協力しようではないか。","For world peace, let us all cooperate\!","こんかいの しっぱいを のりこえ、あらたな スタートを きろうじゃないか。","今回の失敗を乗り越え、新たなスタートを切ろうじゃないか。","Let's overcome this failure and make a new start\!"
"～得る","ざるを得ない／かねない","Indicates possibility. ""Can... / May..."". The negative is 「得ない」. \<br\>Note: Only expresses possibility, not ability.","V-masu stem + 得る","それは じゅうぶんに ありうることだ。","それは十分にあり得ることだ。","That is entirely possible.","かがくの しんぽは、これまで ふかのうと かんがえられてきた ことを かのうにしうる。","科学の進歩は、これまで不可能と考えられてきたことを可能にし得る。","Scientific progress can make what was previously considered impossible, possible."
"～おかげで",,"Indicates a reason, meaning a good result occurred thanks to the preceding reason. ""Thanks to... / Due to..."".","Plain form modifying noun + おかげで","みなさまの おかげで、プロジェクトは ぶじに かんせいしました。","皆様のおかげで、プロジェクトは無事に完成しました。","Thanks to everyone, the project was completed successfully.","くすりを のんだおかげで、ねつが さがりました。","薬を飲んだおかげで、熱が下がりました。","Thanks to taking the medicine, my fever went down."
"～恐れがある","おそれがある","Indicates the possibility of something bad happening. ""There is a fear of... / There is a risk of..."".","V-ru / Noun + の + 恐れがある","この たいふうは、じょうりくする おそれがあります。","この台風は、上陸する恐れがあります。","This typhoon has a risk of making landfall.","このままでは、こじんじょうほうが るいしゅつする おそれがある。","このままでは、個人情報が流出する恐れがある。","If things continue like this, there's a risk of personal information leaking."
"～限り",かぎり,"Indicates condition, scope, or limit.","①V-ru/Noun + の + 限り (to the maximum extent)\<br\>②Plain form + 限りは (as long as...)\<br\>③V-ta/te iru + 限りでは (as far as one knows)\<br\>④V-nai + 限り (unless...)","ちからの かぎり、がんばります。","力の限り、頑張ります。","I'll do my best with all my might.","わたしが しらべた かぎりでは、その データは みつからなかった。","私が調べた限りでは、そのデータは見つからなかった。","As far as I investigated, that data wasn't found."
"～に限って",にかぎって,"Indicates a limit or special circumstance. ""Only on... / Specifically on..."".","Noun + に限って","きょうにかぎって、いつもは すいている でんしゃが こんでいた。","今日に限って、いつもは空いている電車が混んでいた。","Only today, the usually empty train was crowded.","この レストランは、すいようびに かぎって、すべての ドリンクが はんがくに なる。","このレストランは、水曜日に限り、全てのドリンクが半額になる。","This restaurant offers half-price on all drinks only on Wednesdays."
"～に限らず",にかぎらず,"Indicates that the scope is not limited to what precedes it. ""Not only... but also..."".","Noun + に限らず","この アニメは こどもに かぎらず、おとなにも にんきが ある。","このアニメは子供に限らず、大人にも人気がある。","This anime is popular not only among children but also among adults.","へいじつに かぎらず、しゅうまつも えいぎょうしております。","平日に限らず、週末も営業しております。","We are open not only on weekdays but also on weekends."
"～がたい",,"Indicates that something is psychologically ""difficult to do,"" or hard to achieve.","V-masu stem + がたい","かれがしたことは、ゆるしがたい こういだ。","彼がしたことは、許しがたい行為だ。","What he did is an unforgivable act.","この けしきは、ことばでは ひょうげんしがたい ほど うつくしい。","この景色は、言葉では表現しがたいほど美しい。","This scenery is beautiful beyond words."
"～がちだ",,"Indicates a tendency (objective), often referring to negative things that tend to happen. ""Tends to... / Is prone to..."".\<br\>Fixed expressions: 疲れ気味 (feeling tired), 風邪気味 (feeling like catching a cold), 太り気味 (gaining weight).","V-masu stem / Noun + がちだ","わたしは こどもの ころ、びょうきがちだった。","私は子供の頃、病気がちだった。","When I was a child, I was prone to getting sick.","さいきん、くもりがちの てんきが つづいている。","最近、曇りがちの天気が続いている。","Recently, it's been mostly cloudy weather."
"～(か)と思うと",かとおもうと,"Indicates that one action happens almost simultaneously with another, often an unexpected one. ""No sooner had... than..."".","V-ta + (か)と思うと","そらが きゅうに くらくなったかと おもうと、おおつぶの あめが ふってきた。","空が急に暗くなったかと思うと、大粒の雨が降ってきた。","No sooner had the sky suddenly darkened than large drops of rain started falling.","あのこは さっきまで ないていたかと おもったら、もう わらっている。","あの子はさっきまで泣いていたかと思ったら、もう笑っている。","That child was crying just a moment ago, and then immediately started laughing."
"～かねない",,"Indicates the possibility of a negative or undesirable result. ""Could possibly... / Might... (and it would be bad)"".","V-masu stem + かねない","あんなに スピードを だしたら、じこを おこしかねない。","あんなにスピードを出したら、事故を起こしかねない。","If you drive at that speed, you could cause an accident.","かれは うそを つきかねない じんぶつだ。","彼は嘘をつきかねない人物だ。","He's the kind of person who might tell a lie."
