"空く",あく,"自動詞・五段活用","空く - 空ける","空,有空隙,空闲","今、手が空いていますか。","你现在有空吗？"
"預かる",あずかる,"他動詞・五段活用","預かる - 預ける","保管,照顾,收存","旅行の間、友達に犬を預かってもらった。","旅行期间，我让朋友帮忙照顾狗。"
"暖まる",あたたまる,"自動詞・五段活用","暖まる - 暖める","变暖,暖和起来","お風呂に入って体が暖まった。","泡了个澡，身体暖和起来了。"
"当たる",あたる,"自動詞・五段活用","当たる - 当てる","碰撞,命中,晒(太阳)","ボールが頭に当たった。","球打到头了。"
"扱う",あつかう,"他動詞・五段活用","","对待,处理,经营","この商品は壊れやすいので、丁寧に扱ってください。","这个商品很容易坏，所以请小心处理。"
"編む",あむ,"他動詞・五段活用","","编织","母はセーターを編んでいる。","妈妈正在织毛衣。"
"表す",あらわす,"他動詞・五段活用","現れる - 表す","表现,表达,象征","言葉で感謝の気持ちを表す。","用语言表达感谢的心情。"
"祝う",いわう,"他動詞・五段活用","","庆祝,祝贺","友達の結婚を祝うパーティーを開いた。","为了庆祝朋友结婚，我们开了派对。"
"浮く",うく,"自動詞・五段活用","浮く - 浮かべる","漂浮,浮起,多余","木の葉が水面に浮いている。","树叶漂浮在水面上。"
"動かす",うごかす,"他動詞・五段活用","動く - 動かす","移动,开动,打动","この机が重くて、一人では動かせない。","这张桌子太重了，一个人搬不动。"
"失う",うしなう,"他動詞・五段活用","","失去,丧失","事故で記憶を失ってしまった。","因为事故而失去了记忆。"
"失くす",なくす,"他動詞・五段活用","無くなる - 失くす","弄丢,丢失","鍵を失くして家に入れない。","我把钥匙弄丢了，进不了家。"
"疑う",うたがう,"他動詞・五段活用","","怀疑,猜疑","彼の話を疑う人は誰もいなかった。","没有人怀疑他的话。"
"打つ",うつ,"他動詞・五段活用","","打,敲,拍","彼は壁に釘を打った。","他在墙上钉了钉子。"
"移す",うつす,"他動詞・五段活用","移る - 移す","移动,转移,传染","病気が他の人に移らないように気をつけてください。","请注意不要把病传染给别人。"
"映す",うつす,"他動詞・五段活用","映る - 映す","映照,投射","鏡に自分の顔を映す。","在镜子里映出自己的脸。"
"映る",うつる,"自動詞・五段活用","映る - 映す","映照,显现","湖に山の影が映っている。","湖面倒映着山的影子。"
"産む",うむ,"他動詞・五段活用","","生(孩子、蛋)","うちの猫が五匹の子猫を産んだ。","我家的猫生了五只小猫。"
"追う",おう,"他動詞・五段活用","","追,赶,追求","警察が犯人を追っている。","警察正在追捕犯人。"
"犯す",おかす,"他動詞・五段活用","","犯(罪、错)","彼は法を犯して、逮捕された。","他犯了法，被逮捕了。"
"補う",おぎなう,"他動詞・五段活用","","补充,彌补","栄養不足を補うために、サプリメントを飲んでいる。","为了补充营养不足，我正在吃保健品。"
"起こす",おこす,"他動詞・五段活用","起きる - 起こす","叫醒,引起,引发","毎朝、母が私を起こしてくれます。","每天早上，妈妈都会叫我起床。"
"驚かす",おどろかす,"他動詞・五段活用","驚く - 驚かす","使...惊讶,吓唬","物陰に隠れて、友達を驚かした。","我躲在暗处吓唬了朋友。"
"輝く",かがやく,"自動詞・五段活用","","闪耀,发光,辉煌","夜空に星が輝いている。","夜空中星星在闪耀。"
"嗅ぐ",かぐ,"他動詞・五段活用","","闻,嗅","犬がくんくんと匂いを嗅いでいる。","狗正在킁킁地闻味道。"
"隠す",かくす,"他動詞・五段活用","隠れる - 隠す","隐藏,隐瞒","彼は何かを隠しているようだ。","他好像在隐瞒什么。"
"囲む",かこむ,"他動詞・五段活用","","包围,围绕","テーブルを囲んで食事をする。","围着桌子吃饭。"
"刈る",かる,"他動詞・五段活用","","修剪,割","庭の芝生を刈った。","修剪了院子里的草坪。"
"乾かす",かわかす,"他動詞・五段活用","乾く - 乾かす","弄干,吹干,烘干","ドライヤーで髪を乾かす。","用吹风机吹干头发。"
"気づく",きづく,"自動詞・五段活用","","注意到,察觉到","家に帰ってから、財布を忘れたことに気づいた。","回到家才发现忘了带钱包。"
"繰り返す",くりかえす,"他動詞・五段活用","","重复,反复","同じ失敗を繰り返さないように注意してください。","请注意不要重复同样的失败。"
"加わる",くわわる,"自動詞・五段活用","加わる - 加える","加入,增加","新しいメンバーがチームに加わった。","新成员加入了队伍。"
"凍る",こおる,"自動詞・五段活用","","结冰,冻结","寒さで池が凍った。","因为寒冷，池塘结冰了。"
"異なる",ことなる,"自動詞・五段活用","","不同,不一样","兄弟でも性格は大きく異なる。","即使是兄弟，性格也大不相同。"
"好む",このむ,"他動詞・五段活用","","喜欢,偏好","彼女は甘いものを好む。","她偏爱甜食。"
"転ぶ",ころぶ,"自動詞・五段活用","","摔倒,跌倒","雨の日に滑って転んでしまった。","下雨天滑倒了。"
"叫ぶ",さけぶ,"自動詞・五段活用","","叫喊,呼喊","彼は助けを求めて大声で叫んだ。","他大声呼救。"
"刺す",さす,"他動詞・五段活用","","刺,扎,叮","蚊に腕を刺された。","胳膊被蚊子叮了。"
"指す",さす,"他動詞・五段活用","","指,指向","地図を指して、場所を説明した。","他指着地图说明了地点。"
"冷ます",さます,"他動詞・五段活用","冷める - 冷ます","弄凉,冷却","熱いお茶を冷ましてから飲む。","把热茶放凉了再喝。"
"騒ぐ",さわぐ,"自動詞・五段活用","","吵闹,喧哗","夜遅くまで騒ぐのはやめなさい。","请不要吵闹到深夜。"
"沈む",しずむ,"自動詞・五段活用","沈む - 沈める","下沉,沉没,心情低落","太陽が西の空に沈んでいく。","太阳正向西边的天空沉去。"
"縛る",しばる,"他動詞・五段活用","","捆,绑,束缚","古い新聞をひもで縛る。","用绳子把旧报纸捆起来。"
"示す",しめす,"他動詞・五段活用","","出示,表示,指明","彼は地図で道を示してくれた。","他用地图给我指了路。"
"救う",すくう,"他動詞・五段活用","","拯救,挽救","医者は多くの命を救った。","医生拯救了许多生命。"
"過ごす",すごす,"他動詞・五段活用","","度过,生活","週末は家でゆっくり過ごしたい。","我想周末在家悠闲地度过。"
"注ぐ",そそぐ,"他動詞・五段活用","","注入,倒入,倾注","コップに水を注ぐ。","往杯子里倒水。"
"抱く",だく,"他動詞・五段活用","","抱,搂","母親が赤ちゃんを抱いている。","母亲抱着婴儿。"
"助かる",たすかる,"自動詞・五段活用","助かる - 助ける","得救,省事,有幫助","親切な人に助けてもらって、本当に助かった。","得到热心人的帮助，真是帮大忙了。"
"戦う",たたかう,"自動詞・五段活用","","战斗,斗争,比赛","彼は病気と戦い、ついに克服した。","他与疾病斗争，最终克服了它。"
"叩く",たたく,"他動詞・五段活用","","敲,打,拍","ドアを軽く叩いた。","轻轻地敲了门。"
"畳む",たたむ,"他動詞・五段活用","","折叠","洗濯物をきれいに畳む。","把洗好的衣物整齐地折叠起来。"
"黙る",だまる,"自動詞・五段活用","","沉默,不说话","彼は何も言わずに黙っていた。","他什么也没说，沉默着。"
"試す",ためす,"他動詞・五段活用","","尝试,试验","新しいレシピを試してみる。","试一下新食谱。"
"誓う",ちかう,"他動詞・五段活用","","发誓,宣誓","彼は彼女を一生愛することを誓った。","他发誓要一生爱她。"
"縮む",ちぢむ,"自動詞・五段活用","縮む - 縮める","收缩,缩小","このセーターは洗濯したら縮んでしまった。","这件毛衣洗了之后缩水了。"
"掴む",つかむ,"他動詞・五段活用","","抓住,掌握,理解","チャンスを掴むために、努力が必要だ。","为了抓住机会，努力是必要的。"
"造る",つくる,"他動詞・五段活用","","制造,建造(大型物体)","この地域では美味しいお酒を造っている。","这个地区酿造美味的酒。"
"繋ぐ",つなぐ,"他動詞・五段活用","繋がる - 繋ぐ","连接,牵着","子供と手を繋いで歩く。","牵着孩子的手走路。"
"潰す",つぶす,"他動詞・五段活用","潰れる - 潰す","压碎,挤垮,消磨(时间)","彼は暇を潰すために、本を読んでいる。","他为了消磨时间而读书。"
"積む",つむ,"他動詞・五段活用","","堆积,装载,积累","彼は多くの経験を積んだベテランだ。","他是积累了很多经验的老手。"
"流す",ながす,"他動詞・五段活用","流れる - 流す","使…流动,冲走,播放","悲しい音楽を流すと、涙を流した。","播放悲伤的音乐，流下了眼泪。"
"無くなる",なくなる,"自動詞・五段活用","無くなる - 失くす","用完,消失,丢失","砂糖が無くなったから、買ってこなければならない。","因为糖用完了，所以必须去买。"
"似合う",にあう,"自動詞・五段活用","","适合,相配","そのドレスはあなたによく似合いますね。","那件连衣裙很适合您呢。"
"臭う",におう,"自動詞・五段活用","","发臭,有气味,可疑","この牛乳は少し臭う。腐っているかもしれない。","这牛奶有点味儿，可能坏了。"
"願う",ねがう,"他動詞・五段活用","","祈愿,希望,请求","世界の平和を心から願っています。","我由衷地期盼世界和平。"
"残す",のこす,"他動詞・五段活用","残る - 残す","留下,剩下","ご飯を残さないで全部食べてください。","请不要剩饭，全部吃完。"
"残る",のこる,"自動詞・五段活用","残る - 残す","剩下,残留","まだ仕事がたくさん残っている。","还有很多工作剩下。"
"除く",のぞく,"他動詞・五段活用","","除去,排除","アレルギーの原因となる物質を除く。","除去成为过敏原因的物质。"
"延ばす",のばす,"他動詞・五段活用","延びる - 延ばす","延长,推迟,伸展","出発の日を来週まで延ばすことにした。","决定把出发日期推迟到下周。"
"外す",はずす,"他動詞・五段活用","外れる - 外す","取下,摘下,错过","席を外しております。","(我)暂时离开座位。"
"流行る",はやる,"自動詞・五段活用","","流行,盛行,蔓延","今年は短いスカートが流行っている。","今年很流行短裙。"
"引く",ひく,"他動詞・五段活用","","拉,抽,吸引,查(字典)","風邪を引いたので、学校を休んだ。","因为感冒了，所以向学校请了假。"
"拭く",ふく,"他動詞・五段活用","","擦,揩,抹","テーブルの上をきれいに拭いてください。","请把桌子上面擦干净。"
"含む",ふくむ,"他動詞・五段活用","","包含,含有","この食品はアレルギー物質を含んでいますか。","这个食品含有过敏物质吗？"
"防ぐ",ふせぐ,"他動詞・五段活用","","防止,防御","犯罪を防ぐために、パトロールを強化している。","为了防止犯罪，正在加强巡逻。"
"増やす",ふやす,"他動詞・五段活用","増える - 増やす","增加,增多","貯金を増やすために、節約している。","为了增加存款，正在节约。"
"混ぜる",まぜる,"他動詞・一段活用","混ざる - 混ぜる","混合,搅拌","卵と小麦粉をよく混ぜてください。","请将鸡蛋和面粉充分搅拌。"
"守る",まもる,"他動詞・五段活用","","遵守,保护,守护","法律を守ることは国民の義務だ。","遵守法律是国民的义务。"
"回す",まわす,"他動詞・五段活用","回る - 回す","转,绕,传递","次の人にこの書類を回してください。","请把这份文件传给下一个人。"
"結ぶ",むすぶ,"他動詞・五段活用","","系,连接,缔结","靴のひもを結ぶ。","系鞋带。"
"目立つ",めだつ,"自動詞・五段活用","","显眼,引人注目","彼女は赤いドレスを着ていたので、とても目立った。","她穿着红色的连衣裙，所以非常引人注目。"
"燃やす",もやす,"他動詞・五段活用","燃える - 燃やす","燃烧,点燃,使...充满热情","古い手紙を燃やしてしまった。","把旧信烧掉了。"
"許す",ゆるす,"他動詞・五段活用","","原谅,允许,豁免","彼の過ちを許すことにした。","我决定原谅他的过错。"
"酔っぱらう",よっぱらう,"自動詞・五段活用","","喝醉","昨日は飲みすぎて、すっかり酔っぱらってしまった。","昨天喝多了，完全喝醉了。"
"割る",わる,"他動詞・五段活用","割れる - 割る","打破,弄碎,除","皿を落として割ってしまった。","把盘子弄掉了，摔碎了。"
"揚げる",あげる,"他動詞・一段活用","","油炸,举起","エビを油で揚げる。","用油炸虾。"
"挙げる",あげる,"他動詞・一段活用","","举出(例子),举行,推举","具体的な例を挙げてください。","请举出具体的例子。"
"憧れる",あこがれる,"自動詞・一段活用","","憧憬,向往","彼は都会の生活に憧れている。","他向往着都市的生活。"
"預ける",あずける,"他動詞・一段活用","預かる - 預ける","寄存,托付","銀行にお金を預ける。","把钱存入银行。"
"与える",あたえる,"他動詞・一段活用","","给予,授予,造成(影响)","この出来事は私に大きな影響を与えた。","这件事给了我很大的影响。"
"温める",あたためる,"他動詞・一段活用","暖まる - 温める","加热,弄热,重温","冷めたスープを温め直す。","把凉了的汤重新加热。"
"現れる",あらわれる,"自動詞・一段活用","現れる - 表す","出现,显露","雲の間から太陽が現れた。","太阳从云间出现了。"
"合わせる",あわせる,"他動詞・一段活用","合う - 合わせる","合并,配合,对准","みんなで力を合わせれば、きっと成功する。","大家齐心协力的话，一定会成功的。"
"得る",える,"他動詞・一段活用","","得到,获得,能够","長年の努力の末、彼は成功を得た。","经过多年的努力，他获得了成功。"
"終える",おえる,"他動詞・一段活用","終わる - 終える","结束,做完","彼は大学の課程を無事に終えた。","他顺利地完成了大学的课程。"
"変える",かえる,"他動詞・一段活用","変わる - 変える","改变,变更","髪型を変えて、気分転換をした。","我换了发型，转换了一下心情。"
"重ねる",かさねる,"他動詞・一段活用","重なる - 重ねる","重叠,重复","失敗を重ねて、人は成長する。","人通过不断重复失败而成长。"
"感じる",かんじる,"他動詞・一段活用","","感觉,感到","地震の揺れを感じた。","感觉到了地震的摇晃。"
"組み立てる",くみたてる,"他動詞・一段活用","","组装,装配,构成","この家具は自分で組み立てる必要がある。","这个家具需要自己组装。"
"加える",くわえる,"他動詞・一段活用","加わる - 加える","添加,增加,施加","説明に少し補足を加えます。","我为说明做一些补充。"
"蹴る",ける,"他動詞・五段活用","","踢","彼は力強くボールを蹴った。","他用力地踢了球。"
"避ける",さける,"他動詞・一段活用","","避开,避免","危険な場所は避けるようにしてください。","请尽量避开危险的场所。"
"進める",すすめる,"他動詞・一段活用","進む - 進める","推进,使...前进,劝","計画通りに仕事を進める。","按照计划推进工作。"
"立てる",たてる,"他動詞・一段活用","立つ - 立てる","建立,竖起,制定","来年の計画を立てる。","制定明年的计划。"
"例える",たとえる,"他動詞・一段活用","","比喻,比方","人生はよく旅に例えられる。","人生常被比作旅行。"
"閉じる",とじる,"他動詞・一段活用","閉まる - 閉じる","关闭,合上","寒いので、窓を閉じてください。","因为很冷，请把窗户关上。"
"届ける",とどける,"他動詞・一段活用","届く - 届ける","送到,递送,申报","忘れ物を警察に届けた。","把失物送到了警察局。"
"眺める",ながめる,"他動詞・一段活用","","眺望,凝视","窓から遠くの景色を眺めるのが好きだ。","我喜欢从窗户眺望远处的风景。"
"流れる",ながれる,"自動詞・一段活用","流れる - 流す","流动,流逝,播放","川の水がさらさらと流れている。","河水潺潺地流淌着。"
"投げる",なげる,"他動詞・一段活用","","投,扔,抛","キャッチボールでボールを投げる。","在投接球游戏中投球。"
"曲げる",まげる,"他動詞・一段活用","曲がる - 曲げる","弄弯,歪曲,固执己见","彼は自分の意見を決して曲げない。","他决不改变自己的意见。"
"認める",みとめる,"他動詞・一段活用","","承认,认可,看到","彼は自分の間違いを素直に認めた。","他坦率地承认了自己的错误。"
"分ける",わける,"他動詞・一段活用","分かれる - 分ける","分开,分配,区分","ケーキを三つに分ける。","把蛋糕分成三份。"
"安定する",あんていする,"自動詞・サ変動詞","","稳定,安稳","彼の病状は安定している。","他的病情很稳定。"
