"遭う",あう,"Intransitive verb, Godan conjugation","","Encounter (often refers to unfortunate events)","旅行中に盗難に遭った。","I encountered theft during my trip."
"飼う",かう,"Transitive verb, Godan conjugation","","Keep (an animal), raise (a pet)","私は犬を一匹飼っている。","I have one dog."
"沿う",そう,"Intransitive verb, Godan conjugation","","Along, follow","川に沿って、桜の木が植えられている。","Cherry trees are planted along the river."
"縫う",ぬう,"Transitive verb, Godan conjugation","","Sew, stitch","ボタンが取れたので、自分で縫い付けた。","The button came off, so I sewed it on myself."
"酔う",よう,"Intransitive verb, Godan conjugation","","Get drunk, get motion sickness (car/boat)","お酒を飲みすぎて、すっかり酔ってしまった。","I drank too much alcohol and got completely drunk."
"奪う",うばう,"Transitive verb, Godan conjugation","","Snatch, deprive","彼は他人から自由を奪う権利はない。","He has no right to deprive others of their freedom."
"覆う",おおう,"Transitive verb, Godan conjugation","","Cover, conceal, shroud","山は厚い雪で覆われている。","The mountain is covered with thick snow."
"狂う",くるう,"Intransitive verb, Godan conjugation","狂う - 狂わす","Go mad, break down (machine), (plan) go awry","時計が狂って、時間がわからない。","The clock is broken, so I don't know the time."
"誘う",さそう,"Transitive verb, Godan conjugation","","Invite, entice","友達を映画に誘った。","I invited my friend to the movie."
"誓う",ちかう,"Transitive verb, Godan conjugation","","Swear, vow","彼は彼女を一生愛することを誓った。","He vowed to love her for his entire life."
"倣う",ならう,"Transitive verb, Godan conjugation","","Imitate, follow suit","前例に倣って、会議を進めた。","We proceeded with the meeting following the precedent."
"扱う",あつかう,"Transitive verb, Godan conjugation","","Treat, handle, deal in","この商品は壊れやすいので、丁寧に扱ってください。","This product is fragile, so please handle it with care."
"従う",したがう,"Intransitive verb, Godan conjugation","","Obey, follow, comply","規則に従って、行動してください。","Please act according to the rules."
"伴う",ともなう,"Transitive verb, Godan conjugation","","Accompany, entail","この仕事には大きな責任が伴います。","This job entails great responsibility."
"聴く",きく,"Transitive verb, Godan conjugation","","Listen (to music, speeches, etc.)","毎朝、クラシック音楽を聴きながら朝食をとる。","Every morning, I eat breakfast while listening to classical music."
"裂く",さく,"Transitive verb, Godan conjugation","裂ける - 裂く","Tear, rip, split","手紙を読んでから、怒ってびりびりに裂いた。","After reading the letter, I got angry and tore it to shreds."
"敷く",しく,"Transitive verb, Godan conjugation","","Spread, lay out","部屋に新しいカーペットを敷いた。","I laid a new carpet in the room."
"炊く",たく,"Transitive verb, Godan conjugation","炊ける - 炊く","Cook (rice)","毎朝、炊きたてのご飯を食べる。","I eat freshly cooked rice every morning."
"吐く",はく,"Transitive verb, Godan conjugation","","Vomit, exhale, utter","気分が悪くて、吐いてしまった。","I felt sick and vomited."
"履く",はく,"Transitive verb, Godan conjugation","","Wear (shoes, pants, socks)","外出する前に、靴を履く。","Put on shoes before going out."
"弾く",ひく,"Transitive verb, Godan conjugation","","Play (a stringed instrument, piano)","彼女はピアノを上手に弾くことができる。","She can play the piano well."
"描く",えがく,"Transitive verb, Godan conjugation","","Draw, paint, depict","美しい風景を描くのが趣味だ。","My hobby is drawing beautiful landscapes."
"渇く",かわく,"Intransitive verb, Godan conjugation","","(Throat) gets dry, become thirsty","喉が渇いたので、水を一杯飲んだ。","My throat was dry, so I drank a glass of water."
"砕く",くだく,"Transitive verb, Godan conjugation","砕ける - 砕く","Break, crush, make (something) easy to understand","氷を細かく砕いてジュースに入れる。","Crush the ice finely and put it in the juice."
"響く",ひびく,"Intransitive verb, Godan conjugation","","Resound, echo, affect, resonate","彼の声はホールによく響いた。","His voice echoed well in the hall."
"輝く",かがやく,"Intransitive verb, Godan conjugation","","Shine, sparkle, glitter","夜空に星が輝いている。","Stars are shining in the night sky."
"脱ぐ",ぬぐ,"Transitive verb, Godan conjugation","","Take off (clothes, shoes)","家に帰ったら、まずコートを脱ぐ。","When I get home, first I take off my coat."
"稼ぐ",かせぐ,"Transitive verb, Godan conjugation","","Earn money, make money","生活のために、一生懸命稼がなければならない。","I have to work hard to earn a living."
"騒ぐ",さわぐ,"Intransitive verb, Godan conjugation","","Make noise, be noisy, fuss","図書館では騒いではいけません。","You shouldn't make noise in the library."
"挿す",さす,"Transitive verb, Godan conjugation","","Insert, put in","花瓶に花を挿した。","I put flowers in the vase."
"致す",いたす,"Humble verb, Godan conjugation","","Do (humble form of 「する」)","私が致しますので、ご心配なく。","I will do it, so please don't worry."
"崩す",くずす,"Transitive verb, Godan conjugation","崩れる - 崩す","Break down, disrupt, change money","積まれた本を崩さないように気をつけて。","Be careful not to knock over the piled books."
"脅かす",おどかす,"Transitive verb, Godan conjugation","脅える - 脅かす","Threaten, scare","物陰に隠れて、通りかかる人を脅かしてはいけない。","You shouldn't hide in the shadows and scare passersby."
"励ます",はげます,"Transitive verb, Godan conjugation","励む - 励ます","Encourage, cheer up","落ち込んでいる友達を励ました。","I encouraged my depressed friend."
"繰り返す",くりかえす,"Transitive verb, Godan conjugation","","Repeat, do over again","同じ間違いを繰り返さないでください。","Please don't repeat the same mistake."
"撃つ",うつ,"Transitive verb, Godan conjugation","","Shoot, fire","ハンターが銃で鳥を撃った。","The hunter shot a bird with a gun."
"討つ",うつ,"Transitive verb, Godan conjugation","","Subdue, defeat, avenge","歴史上、多くの英雄が敵を討った。","Throughout history, many heroes defeated their enemies."
"跳ぶ",とぶ,"Intransitive verb, Godan conjugation","","Jump, leap","彼は高く跳ぶことができる。","He can jump high."
"酌む",くむ,"Transitive verb, Godan conjugation","","Pour (sake), drink (sake with someone)","友と酒を酌み交わすのは楽しい。","It's enjoyable to drink together with friends."
"澄む",すむ,"Intransitive verb, Godan conjugation","","Become clear, clear up","山の空気はとても澄んでいる。","The mountain air is very clear."
"踏む",ふむ,"Transitive verb, Godan conjugation","","Step on, tread on","うっかり彼の足を踏んでしまった。","I accidentally stepped on his foot."
