name,trans,例文,例文翻译
Inquiry,询问/查问,I am writing to make an inquiry regarding the BCI lab requirements.,我写信是想咨询关于脑机接口实验室的要求。
Attachment,附件,Please find the revised research proposal in the attachment.,请在附件中查收修改后的研究计划书。
Clarify,澄清/阐明,Could you please clarify the deadline for the preliminary report?,您能澄清一下初报的截止日期吗？
Extension,延期,I would like to request a two-day extension for my programming project.,我想申请将我的编程项目延期两天。
Absence,缺席,Please accept my apologies for my absence from yesterday's seminar.,请接受我对昨天缺席研讨会的道歉。
Recommendation,推荐,I am writing to ask if you could provide a letter of recommendation for me.,我写信是想问您是否可以为我提供一封推荐信。
Requirement,要求/必要条件,What are the specific requirements for the part-time position?,这个兼职职位的具体要求是什么？
Acknowledge,确认收到/承认,Please acknowledge receipt of this email at your earliest convenience.,请在方便时尽快确认收到此邮件。
Assistance,帮助/协助,I would greatly appreciate your assistance with this technical issue.,如果您能协助我处理这个技术问题，我将不胜感激。
Feedback,反馈,I am looking forward to receiving your feedback on my initial draft.,我期待收到您对我初稿的反馈。
Procedure,程序/步骤,Could you explain the procedure for applying for the scholarship?,您能解释一下申请奖学金的程序吗？
Registration,注册/登记,The deadline for course registration is approaching quickly.,课程注册的截止日期快到了。
Availability,空档/可获得性,Please let me know your availability for a brief meeting next week.,请告诉我您下周是否有空进行简短面谈。
Candidate,候选人,I believe my background makes me a suitable candidate for the lab.,我相信我的背景使我成为实验室的合适人选。
Enrollment,入学/注册,The university has seen a substantial increase in international enrollment.,该校的国际生入学人数大幅增加。
Syllabus,教学大纲,The grading policy is clearly outlined in the course syllabus.,评分政策在课程大纲中有明确列出。
Prerequisite,先决条件/前提,Advanced calculus is a prerequisite for this neural engineering course.,高等微积分是这门神经工程课程的先修课。
Evaluation,评估,The final evaluation will be based on both exams and participation.,最终评估将基于考试和参与度。
Transcript,成绩单,You need to submit your official transcript to the admissions office.,你需要向招生办提交你的官方成绩单。
Internship,实习,I am interested in applying for the summer internship at Matsuya.,我有兴趣申请松屋的夏季实习。
Citing,引用,Please ensure you are correctly citing all your sources in the paper.,请确保你在论文中正确引用了所有来源。
Collaborate,合作,I am eager to collaborate with other researchers in the BCI field.,我非常渴望与脑机接口领域的其他研究人员合作。
Confirmation,确认,I am writing to seek confirmation of my interview time.,我写信是为了确认我的面试时间。
Postpone,推迟,The lecture has been postponed until further notice.,讲座已推迟，另行通知。
Reschedule,改期,Would it be possible to reschedule our appointment to Friday?,是否可以将我们的约会改到周五？
Supervise,监督/指导,Professor Smith will supervise my research on signal processing.,史密斯教授将指导我关于信号处理的研究。
Withdraw,退出/撤回,He decided to withdraw from the competition due to personal reasons.,由于个人原因，他决定退出比赛。
Criteria,标准,What are the main criteria used for evaluating the research proposal?,评估研究计划书的主要标准是什么？
Demonstrate,证明/展示,The applicant must demonstrate proficiency in both English and Japanese.,申请人必须证明其精通英语和日语。
Eligible,有资格的,Only full-time students are eligible to apply for the grant.,只有全日制学生有资格申请这笔拨款。
Grant,拨款/补助金,The lab received a significant grant to study neural plasticity.,实验室获得了一笔可观的拨款用于研究神经可塑性。
Mandatory,强制的,Attendance at the safety orientation is mandatory for all new students.,所有新生必须参加安全培训。
Orientation,迎新会/方向,The international student orientation will be held in the main hall.,国际生迎新会将在大礼堂举行。
Notify,通知,Please notify the office if there is any change in your address.,如果地址有变动，请通知办公室。
Permission,允许,You must obtain written permission before using the lab equipment.,在使用实验室设备前，你必须获得书面许可。
Reference,参考/证明人,I have listed three professional references at the end of my resume.,我在简历末尾列出了三个职业证明人。
Relevant,相关的,Please attach any relevant documents to your application.,请在申请中附上任何相关的文档。
Submission,提交,The deadline for the online submission is midnight tonight.,网上提交的截止日期是今晚午夜。
Supervision,监督/管理,The students worked under the close supervision of their professors.,学生们在教授的密切指导下工作。
Tuition,学费,The university offers several options for paying tuition fees.,大学提供几种支付学费的选择。
Urgent,紧急的,This is an urgent matter that requires your immediate attention.,这是一个紧急事项，需要您立即关注。
Verification,验证/确认,The bank requires verification of your current student status.,银行需要验证你目前的学生身份。
Account,账户/账目,Please ensure that your student account is active and up to date.,请确保你的学生账户是激活的且信息是最新的。
Appreciation,感激,I would like to express my sincere appreciation for your help.,我想对您的帮助表示由衷的感谢。
Authorization,授权/许可,Access to the server requires special authorization from the IT department.,访问服务器需要IT部门的特殊授权。
Benefit,利益/好处,What are the main benefits of joining the student association?,加入学生协会的主要好处是什么？
Catalog,目录,You can find the list of required books in the online catalog.,你可以在网上目录中找到所需书籍的列表。
Circumstance,情况/环境,Under certain circumstances the late fee may be waived.,在某些情况下，滞纳金可以被豁免。
Complaint,投诉/抱怨,The dormitory manager addressed the student's complaint about the heating.,宿舍管理员处理了学生关于暖气的投诉。
Consultation,咨询,I would like to book a consultation with the career advisor.,我想预约一次与职业顾问的咨询。
Convenience,方便,Please reply at your earliest convenience.,请在方便时尽快回复。
Deadline,截止日期,Missing the deadline will result in a lower grade.,错过截止日期会导致成绩降低。
Detailed,详细的,The professor provided detailed instructions for the final exam.,教授为期末考试提供了详细的说明。
Discrepancy,差异/不一致,There appears to be a discrepancy between my records and yours.,我的记录与您的记录之间似乎存在差异。
Duplicate,副本/重复,Please do not send a duplicate copy of your application.,请不要重复发送你的申请副本。
Ensure,确保,Please ensure that all the information provided is accurate.,请确保所提供的所有信息都是准确的。
Essentially,本质上,Essentially the study aims to improve brain-computer communication.,本质上，这项研究旨在改善脑机通信。
Exceed,超过,The word count for the essay should not exceed 500 words.,文章字数不应超过500字。
Exceptional,异常的/杰出的,The student showed exceptional talent in signal analysis.,这个学生在信号分析方面表现出了非凡的天赋。
Exclusion,排除,The price of the tour is inclusive of meals but with the exclusion of drinks.,行程价格包含餐费，但不含饮料。
Excursion,远足/短途旅行,The department is organizing a weekend excursion to a nearby city.,系里正在组织一次去附近城市的周末远足。
Execution,执行,The success of the experiment depends on the careful execution of each step.,实验的成功取决于每一步的仔细执行。
Exemption,豁免,Students with high TOEFL scores may apply for an English class exemption.,托福成绩高的学生可以申请免修英语课。
Exert,运用/施加,The researchers exerted a lot of effort to obtain the neural data.,研究人员付出了巨大努力以获得神经数据。
Exhaustive,详尽的,The report provides an exhaustive analysis of the research findings.,该报告对研究结果提供了详尽的分析。
Expenditure,支出,The lab's expenditure on new sensors has increased this year.,实验室今年在新型传感器上的支出增加了。
Expertise,专业知识,The project requires a high level of expertise in electronic engineering.,该项目需要电子工程方面的高度专业知识。
Explanation,解释,Could you provide a more detailed explanation of this concept?,您能对这个概念提供更详细的解释吗？
Exploration,探索,The course focuses on the exploration of new BCI technologies.,这门课侧重于对新型脑机接口技术的探索。
Extend,延长/延伸,The library has decided to extend its opening hours during finals week.,图书馆已决定在期末周延长开放时间。
