1,具体时间点,"３時に会いましょう。
（さんじに あいましょう。）
我們3點見吧。","2025年6月19日にこのファイルは作成されました。
（にせんにじゅうごねんろくがつじゅうくにちに このふぁいるは さくせいされました。）
這個檔案是在2025年6月19日建立的。","日曜日に教会へ行きます。
（にちようびに きょうかいへ いきます。）
我星期天去教堂。"
2,动作的目的地,"明日、東京に行きます。
（あした、とうきょうに いきます。）
明天要去東京。","彼は自分の席に戻った。
（かれは じぶんの せきに もどった。）
他回到了自己的座位。","屋上に上がって景色を見よう。
（おくじょうに あがって けしきを みよう。）
我們上頂樓看風景吧。"
3,动作的目的,"映画を見に行きます。
（えいがを みに いきます。）
去看電影。","昼ご飯を食べに出かけましょう。
（ひるごはんを たべに でかけましょう。）
我們出去吃午飯吧。","デパートへ買い物に行きました。
（でぱーとへ かいものに いきました。）
我去百貨公司購物了。"
4,存在的地点,"机の上に本があります。
（つくえの うえに ほんが あります。）
桌子上有書。","公園にたくさんの人がいます。
（こうえんに たくさんの ひとが います。）
公園裡有很多人。","東京に住んでいます。
（とうきょうに すんでいます。）
我住在東京。"
5,频率,"一週間に二回、日本語の授業があります。
（いっしゅうかんに にかい、にほんごの じゅぎょうが あります。）
一週有兩次日文課。","一日に８時間働きます。
（いちにちに はちじかん はたらきます。）
我一天工作8小時。","月に一度、両親に電話します。
（つきに いちど、りょうしんに でんわします。）
我一個月給父母打一次電話。"
6,选择,"飲み物はコーヒーにします。
（のみものは こーひーに します。）
飲料我選咖啡。","今日の夕食はカレーにしよう。
（きょうの ゆうしょくは かれーに しよう。）
今天的晚餐就吃咖哩吧。","会議の日程を金曜日に決めました。
（かいぎの にっていを きんようびに きめました。）
我們把會議日期定在了星期五。"
7,比较基准,"このシャツは私には小さいです。
（このしゃつは わたしには ちいさいです。）
這件襯衫對我來說太小了。","兄は父に似ている。
（あには ちちに にている。）
我哥哥長得像父親。","目標達成には、まだ遠い。
（もくひょうたっせいには、まだ とおい。）
距離達成目標還很遙遠。"
8,用途,"これはお土産に最適です。
（これは おみやげに さいてきです。）
這個最適合當伴手禮。","この箱は何に使いますか。
（このはこは なにに つかいますか。）
這個箱子是用來做什麼的？","この布は服を作るのに使う。
（このぬのは ふくを つくるのに つかう。）
這塊布是用來做衣服的。"
9,动作涉及的对象,"友達にプレゼントをあげます。
（ともだちに ぷれぜんとを あげます。）
給朋友送禮物。","先生に質問があります。
（せんせいに しつもんが あります。）
我對老師有問題。","田中さんにお金を借りました。
（たなかさんに おかねを かりました。）
我向田中先生借了錢。"
10,变化,"信号が青に変わりました。
（しんごうが あおに かわりました。）
信號燈變成綠色了。","大人になったら、何になりたいですか。
（おとなに なったら、なにに なりたいですか。）
長大成人後，你想成為什麼？","彼の顔が真っ赤になった。
（かれの かおが まっかに なった。）
他的臉變得通紅。"
11,动作着落点,"紙に名前を書いてください。
（かみに なまえを かいてください。）
請在紙上寫下名字。","バスに乗ります。
（ばすに のります。）
搭乘公車。","壁に絵を掛けます。
（かべに えを かけます。）
把畫掛在牆上。"
12,状态,"彼は喜びに満ちていた。
（かれは よろこびに みちていた。）
他充滿了喜悅。","水に濡れたままでは風邪をひくよ。
（みずに ぬれたままでは かぜを ひくよ。）
一直淋著雨會感冒的喔。","彼は悲しみに暮れていた。
（かれは かなしみに くれていた。）
他沉浸在悲傷之中。"
13,原因(自然反应),"その知らせに驚きました。
（その しらせに おどろきました。）
我對那個消息感到驚訝。","彼の成功に感動した。
（かれの せいこうに かんどうした。）
我被他的成功所感動。","騒音に悩まされている。
（そうおんに なやまされている。）
我正為噪音所苦。"
14,提示被动态的动作实施者,"私は先生に褒められました。
（わたしは せんせいに ほめられました。）
我被老師表揚了。","弟にケーキを食べられてしまった。
（おとうとに けーきを たべられてしまった。）
我的蛋糕被弟弟吃掉了。","犬に手を噛まれた。
（いぬに てを かまれた。）
我被狗咬了手。"
15,他动词使役态的使役者,"母は私に部屋を掃除させた。
（ははは わたしに へやを そうじさせた。）
媽媽讓我打掃房間。","先生は生徒にたくさん宿題をさせた。
（せんせいは せいとに たくさん しゅくだいを させた。）
老師讓學生做了很多作業。","部長は部下にレポートを書かせた。
（ぶちょうは ぶかに れぽーとを かかせた。）
部長讓下屬寫了報告。"
16,累加,"ご飯に味噌汁、最高の組み合わせだ。
（ごはんに みそしる、さいこうの くみあわせだ。）
米飯加上味噌湯，是最棒的組合。","ビールに枝豆は欠かせない。
（びーるに えだまめは かかせない。）
啤酒配毛豆是不可或缺的。","努力に才能が加われば、彼は無敵だろう。
（どりょくに さいのうが くわわれば、かれは むてきだろう。）
若才能加上努力，他大概就無敵了吧。"
