司会, しかい
上司, じょうし
職業, しょくぎょう
職場, しょくば
伺う, うかがう
迎え, むかえ
歓迎する, かんげいする
相談する, そうだんする
冗談する, じょうだんする
相談係, そうだんがかり
関係者, かんけいしゃ
望み, のぞみ
要望する, ようぼうする
応える, こたえる
応じる, おうじる
航空券, こうくうけん
提げる, さげる
提案する, ていあんする
提出する, ていしゅつする
翻る, ひるがえる
翻訳する, ほんやくする
等しい, ひとしい
一等, いっとう
平等, びょうどう
依頼する, いらいする
急ぐ, いそぐ
急に, きゅうに
急用, きゅうよう
捜す, さがす
捜索する, そうさくする
法律, ほうりつ
務める, つとめる
勤務する, きんむする
事務, じむ
恥ずかしい, はずかしい
恥, はじ
底, そこ
底力, そこぢから
海底, かいてい
底辺, ていへん
非日常, ひにちじょう
非常口, ひじょうぐち
常に, つねに
日常, にちじょう
常識, じょうしき
正常, せいじょう
遠慮, えんりょ
配慮, はいりょ
絵本, えほん
葉書, はがき
言葉, ことば
紅葉, こうよう
紅葉, もみじ
乾く, かわく
乾かす, かわかす
乾杯する, かんぱいする
乾電池, かんでんち
乾燥, かんそう
加わる, くわわる
加える, くわえる
参加する, さんかする
加湿器, かしつき
食器, しょっき
楽器, がっき
器, うつわ
口紅, くちべに
紅茶, こうちゃ
希望する, きぼうする
財布, さいふ
財産, ざいさん
布, ぬの
名札, なふだ
札, ふだ
改札口, かいさつぐち
預かる, あずかる
預け入れ, あずけいれ
針, はり
秒針, びょうしん
方針, ほうしん
彼女, かのじょ
逃す, のがす
逃走する, とうそうする
我, われ
我が国, わがくに
我慢する, がまんする
城, しろ
竜宮城, りゅうぐうじょう
城下町, じょうかまち
島国, しまぐに
無人島, むじんとう
退院, たいいん
早退する, そうたいする
引退する, いんたいする
退屈する, たいくつする
飽きる, あきる
咲く, さく
乱れる, みだれる
乱す, みだす
混乱する, こんらんする
踊る, おどる
暮らす, くらす
一人暮らし, ひとりぐらし
幸せ, しあわせ
幸い, さいわい
海の幸, うみのさち
幸福, こうふく
幸運, こううん
続く, つづく
連続する, れんぞくする
戻る, もどる
大丈夫, だいじょうぶ
箱, はこ
玉, たま
玉手箱, たまてばこ
目玉, めだま
玉石, ぎょくせき
丈, たけ
背丈, せたけ
叫ぶ, さけぶ
叫び声, さけびごえ
絶叫する, ぜっきょうする
込む, こむ
申し込む, もうしこむ
見込み, みこみ
滅亡する, めつぼうする
亡くなる, なくなる
亡くす, なくす
死亡する, しぼうする
煙, けむり
禁煙する, きんえんする
昇る, のぼる
上昇する, じょうしょうする
売る, うる
売り場, うりば
発売する, はつばいする
売店, ばいてん
販売する, はんばいする

しかい,司会
じょうし,上司
しょくぎょう,職業
しょくば,職場
うかがう,伺う
むかえ,迎え
かんげいする,歓迎する
そうだんする,相談する
じょうだんする,冗談する
そうだんがかり,相談係
かんけいしゃ,関係者
のぞみ,望み
ようぼうする,要望する
こたえる,応える
おうじる,応じる
こうくうけん,航空券
さげる,提げる
ていあんする,提案する
ていしゅつする,提出する
ひるがえる,翻る
ほんやくする,翻訳する
ひとしい,等しい
いっとう,一等
びょうどう,平等
いらいする,依頼する
いそぐ,急ぐ
きゅうに,急に
きゅうよう,急用
さがす,捜す
そうさくする,捜索する
ほうりつ,法律
つとめる,務める
きんむする,勤務する
じむ,事務
はずかしい,恥ずかしい
はじ,恥
そこ,底
そこぢから,底力
かいてい,海底
ていへん,底辺
ひにちじょう,非日常
ひじょうぐち,非常口
つねに,常に
にちじょう,日常
じょうしき,常識
せいじょう,正常
えんりょ,遠慮
はいりょ,配慮
えほん,絵本
はがき,葉書
ことば,言葉
こうよう,紅葉
もみじ,紅葉
かわく,乾く
かわかす,乾かす
かんぱいする,乾杯する
かんでんち,乾電池
かんそう,乾燥
くわわる,加わる
くわえる,加える
さんかする,参加する
かしつき,加湿器
しょっき,食器
がっき,楽器
うつわ,器
くちべに,口紅
こうちゃ,紅茶
きぼうする,希望する
さいふ,財布
ざいさん,財産
ぬの,布
なふだ,名札
ふだ,札
かいさつぐち,改札口
あずかる,預かる
あずけいれ,預け入れ
はり,針
びょうしん,秒針
ほうしん,方針
かのじょ,彼女
のがす,逃す
とうそうする,逃走する
われ,我
わがくに,我が国
がまんする,我慢する
しろ,城
りゅうぐうじょう,竜宮城
じょうかまち,城下町
しまぐに,島国
むじんとう,無人島
たいいん,退院
そうたいする,早退する
いんたいする,引退する
たいくつする,退屈する
あきる,飽きる
さく,咲く
みだれる,乱れる
みだす,乱す
こんらんする,混乱する
おどる,踊る
くらす,暮らす
ひとりぐらし,一人暮らし
しあわせ,幸せ
さいわい,幸い
うみのさち,海の幸
こうふく,幸福
こううん,幸運
つづく,続く
れんぞくする,連続する
もどる,戻る
だいじょうぶ,大丈夫
はこ,箱
たま,玉
たまてばこ,玉手箱
めだま,目玉
ぎょくせき,玉石
たけ,丈
せたけ,背丈
さけぶ,叫ぶ
さけびごえ,叫び声
ぜっきょうする,絶叫する
こむ,込む
もうしこむ,申し込む
みこみ,見込み
めつぼうする,滅亡する
なくなる,亡くなる
なくす,亡くす
しぼうする,死亡する
けむり,煙
きんえんする,禁煙する
のぼる,昇る
じょうしょうする,上昇する
うる,売る
うりば,売り場
はつばいする,発売する
ばいてん,売店
はんばいする,販売する
