1,動作の場所（どうさのばしょ）,"図書館で友達と勉強しました。
（としょかんで ともだちと べんきょうしました。）
公園でサッカーをします。
（こうえんで サッカーを します。）"
2,範囲（はんい）,"このクラスで彼が一番速く走れます。
（このクラスで かれが いちばん はやく はしれます。）
世界で最も美しい景色の一つだ。
（せかいで もっとも うつくしい けしきの ひとつだ。）"
3,原因・理由（げんいん・りゆう）,"大雪で飛行機が欠航になった。
（おおゆきで ひこうきが けっこうに なった。）
仕事のストレスで病気になりました。
（しごとの ストレスで びょうきに なりました。）"
4,期限・区切り（きげん・くぎり）,"このレポートは一日で書き上げました。
（このレポートは いちにちで かきあげました。）
会議は午後5時で終了します。
（かいぎは ごごごじで しゅうりょうします。）"
5,状態（じょうたい）,"病気の体で無理してはいけません。
（びょうきの からだで むりしては いけません。）
全員が揃わない状態で会議を始められません。
（ぜんいんが そろわない じょうたいで かいぎを はじめられません。）"
6,材料（ざいりょう）,"そのセーターはウールで編まれています。
（そのセーターは ウールで あまれています。）
この家は石と木でできている。
（このいえは いしと きで できている。）"
7,並列（へいれつ）,"彼女は親切で、とても正直な人です。
（かのじょは しんせつで、とても しょうじきな ひとです。）
彼は医者で、私の友人でもあります。
（かれは いしゃで、わたしの ゆうじんでも あります。）"
8,費用・値段（ひよう・ねだん）,"このりんごは全部で1000円です。
（このりんごは ぜんぶで せんえんです。）
この切符は2枚で800円になります。
（このきっぷは にまいで はっぴゃくえんに なります。）"
9,手段・方法（しゅだん・ほうほう）,"日本語でレポートを書きます。
（にほんごで レポートを かきます。）
インターネットでホテルの予約をしました。
（インターネットで ホテルの よやくを しました。）"
10,動作主の範囲・人数（どうさぬしのはんい・にんずう）,"家族みんなで晩ごはんを食べました。
（かぞくみんなで ばんごはんを たべました。）
三人でこの仕事を分担しましょう。
（さんにんで このしごとを ぶんたんしましょう。）"
