"遭う",あう,"自動詞・五段活用","","遭遇 (多指不幸之事)","旅行中に盗難に遭った。","旅行途中遇到了盜竊。"
"飼う",かう,"他動詞・五段活用","","饲养","私は犬を一匹飼っている。","我養了一隻狗。"
"沿う",そう,"自動詞・五段活用","","沿着,顺着","川に沿って、桜の木が植えられている。","沿著河邊種著櫻花樹。"
"縫う",ぬう,"他動詞・五段活用","","缝,缝合","ボタンが取れたので、自分で縫い付けた。","因為鈕扣掉了，所以我自己把它縫上了。"
"酔う",よう,"自動詞・五段活用","","喝醉,晕(车/船)","お酒を飲みすぎて、すっかり酔ってしまった。","酒喝多了，完全醉了。"
"奪う",うばう,"他動詞・五段活用","","抢夺,剥夺","彼は他人から自由を奪う権利はない。","他沒有權利剝奪他人的自由。"
"覆う",おおう,"他動詞・五段活用","","覆盖,蒙上,掩盖","山は厚い雪で覆われている。","山被厚厚的雪覆蓋著。"
"狂う",くるう,"自動詞・五段活用","狂う - 狂わす","发疯,发生故障,(计划)被打乱","時計が狂って、時間がわからない。","手錶出問題了，不知道時間。"
"誘う",さそう,"他動詞・五段活用","","邀请,引诱","友達を映画に誘った。","我邀請了朋友去看電影。"
"誓う",ちかう,"他動詞・五段活用","","发誓,宣誓","彼は彼女を一生愛することを誓った。","他發誓要一生愛她。"
"倣う",ならう,"他動詞・五段活用","","模仿,效仿","前例に倣って、会議を進めた。","仿照先前的例子，推進了會議。"
"扱う",あつかう,"他動詞・五段活用","","对待,处理,经营","この商品は壊れやすいので、丁寧に扱ってください。","這個商品很容易壞，所以請小心處理。"
"従う",したがう,"自動詞・五段活用","","遵从,跟從,听从","規則に従って、行動してください。","請遵從規則行動。"
"伴う",ともなう,"他動詞・五段活用","","伴随,带有","この仕事には大きな責任が伴います。","這份工作伴隨著重大的責任。"
"聴く",きく,"他動詞・五段活用","","听(音乐、演讲等)","毎朝、クラシック音楽を聴きながら朝食をとる。","我每天早上都一邊聽古典音樂一邊吃早餐。"
"裂く",さく,"他動詞・五段活用","裂ける - 裂く","撕开,裂开,劈开","手紙を読んでから、怒ってびりびりに裂いた。","讀完信後，生氣地把它撕得粉碎。"
"敷く",しく,"他動詞・五段活用","","铺,垫","部屋に新しいカーペットを敷いた。","在房間裡鋪了新的地毯。"
"炊く",たく,"他動詞・五段活用","炊ける - 炊く","煮(饭)","毎朝、炊きたてのご飯を食べる。","每天早上吃剛煮好的米飯。"
"吐く",はく,"他動詞・五段活用","","吐,吐出,说出","気分が悪くて、吐いてしまった。","因為身體不舒服，所以吐了。"
"履く",はく,"他動詞・五段活用","","穿(鞋、裤、袜)","外出する前に、靴を履く。","出門前穿鞋。"
"弾く",ひく,"他動詞・五段活用","","弹(奏)","彼女はピアノを上手に弾くことができる。","她能很熟練地彈鋼琴。"
"描く",えがく,"他動詞・五段活用","","描画,描绘","美しい風景を描くのが趣味だ。","我的興趣是描繪美麗的風景。"
