"cancel","取消， 废除； 删去， 删除； 抵消","The concert was cancelled at the last minute due to the storm.","由於暴風雨，音樂會在最後一刻被取消了。"
"recline","向后倚靠， 斜倚","He reclined his chair to take a short nap.","他把椅子向後斜躺，以便小睡片刻。"
"explosive","爆炸的，爆发的；使人冲动的; 炸药","The news of his resignation had an explosive impact on the company.","他辭職的消息對公司產生了爆炸性的影響。"
"prepare","准备， 预备","You need to prepare well for the upcoming exam.","你需要為即將到來的考試做好充分準備。"
"crusade","加入十字军， 投身正义运动; 十字军；斗争，运动","She led a crusade for equal rights in her community.","她在社區中領導了一場爭取平等權利的運動。"
"supplant","取代， 代替","Electric cars are expected to supplant gasoline-powered vehicles in the future.","電動汽車預計將在未來取代燃油車。"
"surgeon","外科医师","The surgeon performed a life-saving operation on the patient.","外科醫生為病人進行了一場挽救生命的手術。"
"abrupt","突然的， 意外的； 唐突的， 鲁莽的","The car came to an abrupt stop at the red light.","汽車在紅燈前突然停了下來。"
"discourage","使泄气， 使灰心； 阻止， 劝阻","Don't let a small failure discourage you from trying again.","不要因為一次小小的失敗而灰心，不敢再試。"
"predispose","事先影响某人； 易受感染","A lack of sleep can predispose you to catching a cold.","睡眠不足會使你更容易感冒。"
"spontaneous","自发的， 自然产生的； 自然的， 无雕饰的","Her decision to travel the world was completely spontaneous.","她環遊世界的決定完全是自發的。"
"convection","对流； 传送","Heat is transferred through the room by convection.","熱量透過對流在房間裡傳遞。"
"wreck","使失事；破坏; 沉船； 失事","The ship was wrecked during the violent storm.","船在猛烈的風暴中失事了。"
"twinkling","闪光的; 瞬间，一眨眼","In the twinkling of an eye, the magician disappeared.","一眨眼的功夫，魔術師就消失了。"
"gloomy","忧郁的， 令人沮喪的； 昏暗的， 阴暗的， 阴沉的","The gloomy weather perfectly matched her sad mood.","陰沉的天氣與她悲傷的心情正好相符。"
"reproach","指责， 斥责， 批评","He looked at his son with a mixture of reproach and disappointment.","他用一種責備和失望交織的眼神看著兒子。"
"customs","关税， 进口税； 海关","You have to go through customs when you enter a foreign country.","當你進入一個外國時，必須通過海關。"
"warrant","授权，批准；许可证；委任状，执行令; 保证， 担保； 使正当","The police have a warrant for his arrest.","警方有對他的逮捕令。"
"sake","缘故， 理由； 好处","For the sake of your health, you should quit smoking.","為了你的健康著想，你應該戒菸。"
"conceal","隐蔽； 隐瞒； 覆盖","He tried to conceal the truth from his parents.","他試圖對父母隱瞞真相。"
"solid","固体的；实心的；结实的，稳固的；可靠的；连续的; 固体","The table is made of solid oak.","這張桌子是實心橡木製成的。"
"narrative","叙述性的; 叙述；记叙体，叙述技巧","The novel has a complex narrative structure with multiple timelines.","這部小說有多條時間線，敘事結構複雜。"
"coincide","同时发生； 一致， 相符； 重合","My vacation plans coincide with the national holiday.","我的假期計畫與國定假日恰好重合。"
"circular","圆形的， 环形的； 循环的； 绕行的","The ancient stone monument has a circular shape.","那座古老的石頭紀念碑是圓形的。"
"scratch","刮擦，划；抓，搔; 划痕； 挠痒","The cat accidentally scratched my arm.","貓不小心抓傷了我的手臂。"
"require","需要； 要求， 命令","This job requires at least five years of experience.","這份工作要求至少五年經驗。"
"cooperative","合作的，协作的；配合的; 合作企业","We made a cooperative effort to finish the project on time.","我們同心協力，按時完成了專案。"
"willow","柳， 柳树； 柳木制品","A beautiful willow tree grew by the riverbank.","一棵美麗的柳樹生長在河岸邊。"
"corporeal","肉体的， 身体的； 物质的； 实体的","Humans are corporeal beings, subject to physical limitations.","人類是肉體的存在，受制於物理限制。"
"irritable","急躁的， 易怒的； 易受刺激的； 过敏的","He becomes very irritable when he hasn't had enough sleep.","當睡眠不足時，他會變得非常易怒。"
"triple","增至三倍; 三部分的； 三方的； 三倍的","The company's profits have tripled in the last year.","公司利潤在去年增至三倍。"
"temper","脾气，性情; 缓和， 调节","He needs to learn to control his temper.","他需要學會控制自己的脾氣。"
"legible","清楚的； 易读的","Her handwriting is so neat and legible.","她的字跡非常工整易讀。"
"tickle","发痒；使高兴，逗乐; 痒","The feather started to tickle my nose.","羽毛弄得我的鼻子癢癢的。"
"cardiac","心脏的； 心脏病的","The patient was admitted to the cardiac unit for observation.","病人被送入心臟科病房進行觀察。"
"accessible","易接近的； 可得到的； 可进入的","The museum is easily accessible by public transportation.","搭乘大眾運輸工具可以輕鬆到達這家博物館。"
"ageism","年龄歧视","Ageism is a serious problem in the workplace, affecting both young and old employees.","年齡歧視是職場中的一個嚴重問題，影響著年輕和年長的員工。"
"cliff","悬崖， 峭壁","We stood at the edge of the cliff and looked down at the sea.","我們站在懸崖邊，俯瞰著大海。"
"roll","滚动，转动；卷，绕；摇摆，摇晃; 卷； 卷形物； 名单， 花名册","The ball rolled down the hill.","球滾下了山坡。"
"notable","值得注意的，明显的；显著的；著名的；重要的; 名人， 要人","One of the city's most notable features is its historic architecture.","這座城市最顯著的特色之一是其歷史建築。"
"concede","承认； 让步； 允许","After a long debate, he finally conceded the point.","經過長時間的辯論，他最終承認了那一點。"
"unparalleled","空前的， 无比的","The company has achieved a level of success that is unparalleled in its industry.","該公司取得了在其行業內無與倫比的成功。"
"evaporate","蒸发； 消失， 不复存在","His hopes of winning the lottery quickly evaporated.","他中樂透的希望很快就破滅了。"
"luminosity","亮度， 发光度； 光明","The luminosity of the star made it visible even from a great distance.","那顆恆星的亮度使其在很遠的地方也清晰可見。"
"commission","授权，委任；委员会；佣金，回扣; 委托， 授权","She received a 10% commission on every sale she made.","她每做成一筆銷售，就能得到10%的佣金。"
"policy","政策， 方针； 原则； 保险单","The company has a strict policy against smoking in the office.","公司有嚴格的辦公室禁菸政策。"
"resume","重新开始， 继续","Let's take a short break and then resume our work.","讓我們稍作休息，然後繼續工作。"
"provocative","挑衅的， 煽动性的； 惹人讨厌的； 挑逗的","The article was written in a provocative style to generate discussion.","這篇文章以挑釁的風格寫成，旨在引發討論。"
