行く,いらっしゃる,参る (うかがう),"部長は明日、大阪にいらっしゃいます。","私がそちらへ参ります。"
来る,いらっしゃる (おいでになる),参る,"先生はまもなくこちらにいらっしゃいます。","ただいま、そちらへ参ります。"
言う,おっしゃる,申す (申し上げる),"社長がおっしゃった通りです。","私は田中と申します。"
食べる,召し上がる,いただく,"どうぞ、こちらのお菓子を召し上がってください。","それでは、ありがたく頂きます。"
飲む,召し上がる,いただく,"コーヒーはいかがですか。召し上がりますか。","お茶を一杯、頂いてもよろしいでしょうか。"
いる,いらっしゃる,おる,"山田様は会議室にいらっしゃいます。","父は今、書斎におります。"
する,なさる,いたす,"週末は何をなさいますか。","私がお手伝いいたします。"
見る,ご覧になる,拝見する,"お客様、こちらの資料をご覧ください。","後ほど、資料を拝見します。"
知る,ご存じだ,存じ上げる,"この件について、何かご存じですか。","先生のお名前は、かねてより存じ上げております。"
知っている,ご存じだ,存じている,"田中様をご存じですか。","はい、その件については存じております。"
だ (です),でいらっしゃる,でございます,"こちらが佐藤部長でいらっしゃいます。","お電話ありがとうございます。ABC商事でございます。"
〜ている,〜ていらっしゃる,〜ておる,"先生は本を読んでいらっしゃいます。","ご依頼の件、ただいま確認しております。"
知らない,ご存じない,存じません

