name,trans,例文,例文翻译
Inquiry,询问,I am writing to make an inquiry about the internship requirements.,我写信是想询问关于实习要求的事宜。
Alternative,替代方案,We need to consider an alternative date for the final presentation.,我们需要为最终演示考虑一个备选日期。
Accommodate,通融/容纳,Could you please accommodate my request for a late submission?,您能通融一下我迟交作业的请求吗？
Clarify,澄清/说明,I would like to clarify the instructions for the lab report.,我想进一步明确一下实验报告的要求。
Extension,延期,I am writing to request a one-week extension on the research paper.,我写信是想申请将研究论文延期一周。
Relevant,相关的,My relevant experience makes me a strong candidate for the library job.,我相关的经验使我成为图书馆工作的有力竞争者。
Contribution,贡献,Your contribution to the online discussion was highly insightful.,你对线上讨论的贡献非常有见地。
Perspective,观点,From a historical perspective this policy has many flaws.,从历史的角度来看，这项政策有很多缺陷。
Compelling,极具说服力的,The author provides a compelling argument for environmental protection.,作者为环境保护提供了极具说服力的论证。
Objective,客观的/目标,The main objective of this study is to analyze urban growth.,本研究的主要目标是分析城市增长。
Attribute,归因于,The success of the project is attributed to the team's collaboration.,项目的成功归因于团队的协作。
Notwithstanding,尽管,Notwithstanding the budget cuts the research will continue.,尽管预算削减，研究仍将继续。
Conversely,相反地,The first group improved; conversely the second group showed no change.,第一组进步了；相反，第二组没有变化。
Paradoxically,自相矛盾地,Paradoxically some plants thrive in very poor soil conditions.,自相矛盾的是，有些植物在非常贫瘠的土壤中反而生长茂盛。
Consequently,因此,The experiment failed; consequently we had to restart the process.,实验失败了，因此我们不得不重新开始。
Simultaneously,同时地,The two chemical reactions occur simultaneously in the beaker.,这两种化学反应在烧杯中同时发生。
Substantial,大量的/实质性的,There has been a substantial increase in online learning recently.,最近在线学习有了大幅增长。
Marginal,微小的/边缘的,The improvement in the student's score was only marginal.,这个学生分数的提升非常微小。
Aesthetic,美学的,The building's design has high aesthetic value but low functionality.,这栋建筑的设计有很高的美学价值，但实用性较低。
Cognitive,认知的,Social media has a significant impact on children's cognitive development.,社交媒体对儿童的认知发展有显著影响。
Sovereignty,主权,The treaty respects the sovereignty of all participating nations.,该条约尊重所有参与国的主权。
Excavate,挖掘/开凿,Archaeologists plan to excavate the site early next year.,考古学家计划于明年年初挖掘该遗址。
Symbiosis,共生,The relationship between the two species is a perfect example of symbiosis.,这两个物种之间的关系是共生的完美范例。
Metabolism,新陈代谢,Exercise is known to increase your body's metabolism.,众所周知，运动能提高身体的新陈代谢。
Sediment,沉积物,The river carries a large amount of sediment to the ocean.,河流将大量的沉积物带入海洋。
Tectonic,地壳构造的,Tectonic plate movements can cause massive earthquakes.,地壳板块运动会导致大地震。
Artifact,手工艺品/文物,The museum displays various artifacts from the Ming Dynasty.,博物馆展示了明代的各种文物。
Aesthetic,美学的,The artist's work is known for its unique aesthetic style.,这位艺术家的作品以其独特的美学风格而闻名。
Feasible,可行的,The professor asked if the proposed research plan was feasible.,教授询问所提议的研究计划是否可行。
Collaborate,合作,Students are encouraged to collaborate on the final project.,鼓励学生在最终项目上进行合作。
Conflict,冲突,I have a schedule conflict between the chemistry lab and the seminar.,我的化学实验和研讨会在时间上有冲突。
Consent,同意,We need your parent's written consent to join the field trip.,我们需要你父母的书面同意书才能参加实地考察。
Notify,通知,Please notify the office if your contact information changes.,如果你的联系信息有变，请通知办公室。
Propose,提议,I would like to propose a new topic for the class discussion.,我想为课堂讨论提议一个新话题。
Resolve,解决,The university is working to resolve the technical issues.,大学正在努力解决技术问题。
Sufficient,充足的,We have sufficient evidence to support our hypothesis.,我们有充分的证据来支持我们的假设。
Initial,最初的,My initial reaction to the news was one of great surprise.,我对那个消息最初的反应是极度惊讶。
Incorporate,合并/纳入,We should incorporate more case studies into the curriculum.,我们应该在课程中加入更多的案例研究。
Advocate,倡导者/主张,She is a strong advocate for student rights on campus.,她是校园学生权利的坚定倡导者。
Assess,评估,The teacher will assess our progress through a weekly quiz.,老师将通过每周小测验来评估我们的进度。
Assume,假设,Many people assume that technology always makes life easier.,许多人假设技术总是让生活变得更简单。
Constitute,构成,These three modules constitute the entire software package.,这三个模块构成了整个软件包。
Derive,源于/获得,Many English words are derived from Latin roots.,许多英语单词源于拉丁语词根。
Distribute,分发/分配,The library will distribute the new ID cards next week.,图书馆下周将发放新的身份证。
Establish,建立,The researchers established a link between diet and health.,研究人员建立了饮食与健康之间的联系。
Identify,识别,The software is designed to identify potential security threats.,该软件旨在识别潜在的安全威胁。
Indicate,表明,The survey results indicate a change in consumer behavior.,调查结果表明消费者行为发生了变化。
Interpret,解释/理解,It is difficult to interpret the meaning of this ancient text.,很难解释这段古文的含义。
Investigate,调查,The police are investigating the cause of the accident.,警方正在调查事故的原因。
Manifest,表现/显现,The symptoms of the disease usually manifest within a week.,这种疾病的症状通常在一周内显现。
Potential,潜在的,The new technology has the potential to transform the industry.,这项新技术具有改变行业的潜力。
Diverse,多样化的,The campus has a very diverse student population.,校园里有非常多样化的学生群体。
Fundamental,基本的,Understanding grammar is fundamental to learning a new language.,理解语法是学习一门新语言的基础。
Precise,精确的,Scientists need precise measurements to ensure the accuracy of the experiment.,科学家需要精确的测量以确保实验的准确性。
Significant,显著的,There has been a significant improvement in your writing skills.,你的写作能力有了显著提高。
Sustainable,可持续的,The university is promoting sustainable practices on campus.,大学正在校园内推广可持续的做法。
Vulnerable,易受影响的/脆弱的,Young children are particularly vulnerable to air pollution.,幼儿特别容易受到空气污染的影响。
Empirical,以经验为依据的,The theory is supported by a wealth of empirical evidence.,该理论得到了丰富的实证支持。
Hypothesis,假设,Scientists are testing the hypothesis through a series of experiments.,科学家们正通过一系列实验来测试这个假设。
Validate,验证,The data will be used to validate the previous findings.,这些数据将用于验证之前的发现。
Pragmatic,务实的,We need to take a pragmatic approach to solve the problem.,我们需要采取务实的方法来解决问题。
Abstract,抽象的,The concept of justice is often discussed in abstract terms.,正义的概念经常以抽象的形式被讨论。
Analyze,分析,Researchers will analyze the data using statistical software.,研究人员将使用统计软件分析数据。
Synthesize,综合/合成,You need to synthesize information from multiple sources for the paper.,你需要为论文综合来自多个来源的信息。
Comprehensive,全面的,The textbook provides a comprehensive overview of the subject.,这本教科书提供了该学科的全面概述。
Ambiguous,模棱两可的,The instructions were so ambiguous that no one knew what to do.,指令非常模棱两可，以至于没人知道该做什么。
